 	cosa	fa	Anna	il	sabato	mattina	</S>
a46	0.8142648	0.08190495	0.016689617	0.0040236325	0.001979322	0.070436865	0.010700756
a31	0.44297454	0.27899608	0.13904989	0.0057499385	0.00011551918	0.13172477	0.0013892417
a6	0.061759185	0.10741143	0.53875977	0.022969462	9.588406e-05	0.2662272	0.0027770228
a31	0.01505597	0.8516121	0.033594236	0.017791444	6.8677116e-05	0.08154572	0.0003319471
a37	0.015672317	0.07652991	0.13686419	0.17461796	0.0006406744	0.5773562	0.018318767
a31	0.018617304	0.72950196	0.0187339	0.0026424802	8.097892e-05	0.22770318	0.0027202324
a17	0.07339998	0.3411493	0.1468468	0.07002539	0.00013338814	0.3655144	0.0029307231
a31	0.009737591	0.46877894	0.027326599	0.021329433	4.338584e-05	0.47079757	0.001986469
a17	0.022325294	0.08063489	0.11225601	0.034986004	3.704501e-05	0.7480359	0.0017247437
a31	0.011337842	0.46507347	0.052167106	0.0375275	0.00027253944	0.43199822	0.0016233609
a8	0.008051207	0.006631574	0.014454766	0.023135722	1.2537211e-05	0.9468193	0.0008948182
a31	0.010061338	0.5075033	0.09930372	0.018918157	0.0011726599	0.36070865	0.0023322282
a28	0.017458742	0.009699311	0.032855384	0.45128882	0.00016566177	0.48733214	0.0011999207
a0	0.042836756	0.6146466	0.16609202	0.048231836	0.01499417	0.09870309	0.014495502
a41	0.014032543	0.51576316	0.048631538	0.040868763	0.0072835707	0.2894117	0.08400869
a39	0.0028230331	0.52822727	0.08736605	0.039424885	0.002910472	0.29616514	0.043083098
a31	0.008319216	0.80585366	0.044895776	0.015886642	0.002465585	0.08855721	0.034021877
a39	0.02849716	0.09450233	0.506983	0.2692817	0.012381234	0.028405083	0.059949525
a31	0.09474165	0.34180275	0.21912143	0.14026955	0.031690806	0.15668418	0.015689613
a18	0.035831623	0.13907029	0.29073924	0.35268706	0.037293654	0.022515684	0.12186243
a31	0.09655361	0.25521496	0.22299743	0.17210539	0.11766154	0.11702446	0.018442558
a18	0.04824626	0.27927867	0.17599142	0.15275535	0.11684958	0.048087873	0.17879085
a31	0.088546515	0.2669781	0.2916235	0.16967556	0.12788133	0.048443433	0.0068516065
a39	0.006516076	0.23754656	0.19123589	0.10262745	0.22508395	0.08227134	0.15471874
a41	0.08247264	0.27640143	0.3347901	0.15026167	0.13227908	0.019879716	0.0039153546
a8	0.13413897	0.19789207	0.20918657	0.1970324	0.21010207	0.036620107	0.015027858
a31	0.10981322	0.15198672	0.14461683	0.23876458	0.15167382	0.14840196	0.054742932
a46	0.028201858	0.24653605	0.03535235	0.050855797	0.13400112	0.08185927	0.4231935
a8	0.12953869	0.13406071	0.13584292	0.12374821	0.37136272	0.06838237	0.03706436
</S>	0.15845315	0.16138816	0.13598803	0.13624738	0.29163262	0.073855914	0.04243478
