 	il	dito	si	gonfiò	</S>
a39	0.8906202	0.10828679	0.0006946851	0.00037459872	2.3754545e-05
a13	0.29677445	0.4761719	0.2269338	3.0101774e-05	8.9710935e-05
a31	0.22422828	0.2586471	0.51701784	5.8371465e-05	4.837065e-05
a20	0.22505349	0.43716094	0.33768716	5.320415e-06	9.307564e-05
a31	0.019142164	0.009606677	0.97106993	5.04622e-05	0.00013080562
a11	0.73269236	0.07791541	0.18792304	5.7758167e-05	0.0014114955
a31	0.034838237	0.03762912	0.9273065	8.5922766e-05	0.00014023836
a39	0.06721809	0.05023765	0.88246536	2.5720517e-05	5.3210606e-05
a31	0.13262846	0.03607719	0.8219101	0.0025552367	0.0068290373
a41	0.21953663	0.017723827	0.7623141	3.7858397e-05	0.00038754888
a46	0.13076107	0.11198366	0.65326005	0.068997115	0.03499813
a31	0.03827868	0.075917006	0.82895875	0.042614263	0.01423127
</S>	0.023236316	0.09757092	0.20436838	0.02972591	0.6450985
