 	se	si	era	vestita	la	mia	figlia	l	avessi	portata	alla	chiesa	</S>
a31	0.055221573	0.34768057	0.016452825	0.008310458	0.0035842543	0.021497078	0.084849976	0.08848407	0.08982754	0.17156014	0.099880114	0.011403128	0.0012482455
a24	0.005948624	0.126817	0.17394686	0.00103206	0.07624524	0.018292546	0.10296971	0.018838387	0.064116485	0.06943844	0.039335597	0.29889947	0.0041196076
a28	0.0006474214	0.12417672	0.0014218802	7.501712e-06	0.055323392	0.014903777	0.042327236	0.02685694	0.1665911	0.16142914	0.06858344	0.33656818	0.0011632855
a39	0.23299232	0.124929525	0.014285841	0.00010497385	0.06101525	0.0062202555	0.013962211	0.021136837	0.0479158	0.13833621	0.11607026	0.22269312	0.00033739494
a17	0.3678879	0.21523036	0.0040949103	7.260025e-05	0.021987103	0.0024240261	0.017032452	0.004059273	0.017627088	0.08992059	0.094306245	0.1646082	0.0007491883
a31	0.26924732	0.54099536	0.0079908725	6.366864e-05	0.0096756015	0.0014301167	0.005301532	0.0011347138	0.011107291	0.04419764	0.015519104	0.09295412	0.0003826988
a20	0.010467877	0.07484089	0.013579587	0.00024332627	0.051515605	0.020344703	0.05030682	0.055024862	0.13589065	0.10488655	0.35606253	0.12458829	0.002248311
a31	0.07571373	0.5654654	0.0049071866	1.8280542e-05	0.012153995	0.0023439561	0.039127972	0.006150681	0.055278502	0.102984995	0.03137653	0.10359315	0.00088565797
a17	0.0053813057	0.05944668	0.018167585	0.0003496413	0.033949222	0.015396773	0.07989676	0.3490104	0.11260839	0.047639307	0.10705065	0.15705973	0.014043584
a8	0.06608388	0.29837185	0.006153738	2.7262444e-05	0.06094935	0.0062181996	0.05296321	0.010515618	0.09739337	0.18611279	0.056041833	0.15828131	0.0008876332
a31	0.027284103	0.76156366	0.0067586815	0.00022761124	0.006474871	0.0075999754	0.0645301	0.037615646	0.049605303	0.013783647	0.0038423196	0.020150062	0.0005639219
a8	0.0019692958	0.021813206	0.011189056	0.0023518146	0.01698314	0.006393718	0.074615866	0.5313181	0.028319314	0.009153157	0.035515185	0.17356761	0.08681058
a24	0.024577675	0.33728865	0.002643705	0.00010192618	0.012974122	0.005131847	0.14037706	0.022020394	0.21507995	0.08515992	0.06283597	0.09124445	0.0005643005
a31	0.027119441	0.3575377	0.01326898	0.0042778435	0.0122616235	0.0073379395	0.14557004	0.23644333	0.07575785	0.036562726	0.028870009	0.03907002	0.015922533
a20	0.00077270827	0.0076968004	0.0062941667	0.0018494813	0.047744486	0.0031458633	0.07240981	0.21490572	0.070896	0.02348464	0.06919587	0.4034493	0.07815509
a31	0.003841472	0.18805192	0.0006148466	0.00029824133	0.0026583634	0.0027152686	0.39972317	0.052387584	0.0780652	0.013626504	0.02028342	0.23058982	0.007144139
a41	0.00066352385	0.08927669	0.0025292223	0.0017483375	0.013985334	0.0028702896	0.22099963	0.1621467	0.067868	0.019730551	0.024326716	0.3070912	0.08676386
a31	0.0027400434	0.2310821	0.0025393781	0.0020939196	0.0039705643	0.010826082	0.28530964	0.08181316	0.100558996	0.016522387	0.016437268	0.24095811	0.005148397
a13	0.0018171499	0.3023295	0.0038355284	0.004611122	0.013198763	0.008455679	0.08454547	0.06253433	0.056337472	0.020162173	0.024996288	0.32218277	0.09499376
a37	0.0033354461	0.09033261	0.0041594347	0.01763561	0.005869705	0.012032407	0.43313158	0.2964752	0.042839274	0.013404022	0.013830804	0.05266241	0.014291576
a8	0.012000866	0.064591415	0.01242915	0.022882124	0.014921468	0.025155531	0.1804655	0.4515932	0.12094593	0.018800525	0.027873702	0.039701656	0.008638981
a39	0.024649156	0.044225357	0.021315452	0.031341787	0.03702271	0.025498414	0.12018374	0.16598569	0.318299	0.045227263	0.056014854	0.08298861	0.027247908
a20	0.020387547	0.017836343	0.008475022	0.011069453	0.03701459	0.009247595	0.07701815	0.035228338	0.26180738	0.053027827	0.09911127	0.24026193	0.12951459
a24	0.03508565	0.024838295	0.014444357	0.01872268	0.04046622	0.014631566	0.055746168	0.0346674	0.37164837	0.05503442	0.088637136	0.17773598	0.06834177
a18	0.09370793	0.04476688	0.015014374	0.020078447	0.030385805	0.013730689	0.05087141	0.03267587	0.34359348	0.04488423	0.07204941	0.19156969	0.046671726
a23	0.06421129	0.041672215	0.027086077	0.036935102	0.047339886	0.026312882	0.04845688	0.043534797	0.40283403	0.05891364	0.069531396	0.10122133	0.031950552
a24	0.09540921	0.07550016	0.058976658	0.07714052	0.06770663	0.05677228	0.06134427	0.10436106	0.23187168	0.07247338	0.050980788	0.032345153	0.015118201
a31	0.12796603	0.056752477	0.018387811	0.023313746	0.03158703	0.015573864	0.04187955	0.029716427	0.36301515	0.046120603	0.06481515	0.14587416	0.034997948
a20	0.007287058	0.03638234	0.00093878503	0.0035893735	0.0036463987	0.0011283236	0.013159982	0.0028565472	0.018469809	0.007786747	0.019647775	0.77456236	0.110544406
a3	0.054070357	0.05119513	0.03738165	0.073878214	0.044446915	0.04034518	0.08607078	0.1950985	0.15698567	0.053986117	0.06671407	0.10029075	0.039536696
a31	0.14937434	0.081880994	0.055829033	0.07060205	0.06255729	0.052788757	0.05524379	0.059019987	0.20822541	0.06921119	0.06097542	0.049617786	0.024673916
a13	0.017401468	0.06431582	0.0020702677	0.010960753	0.004479696	0.0023729329	0.014142856	0.0033556875	0.032318994	0.010742461	0.024455966	0.68029684	0.13308638
a31	0.047049433	0.048200104	0.038527515	0.0813091	0.041944724	0.041088585	0.09906841	0.3127425	0.08862025	0.050281566	0.05693802	0.059083942	0.03514587
a3	0.0914364	0.1306241	0.012040009	0.078724846	0.014861543	0.014155892	0.020598704	0.013016664	0.038424037	0.03724107	0.058853593	0.31574348	0.17427967
a20	0.070651285	0.06922862	0.056791127	0.1405559	0.060776286	0.0602786	0.067024365	0.099419676	0.0838384	0.07378814	0.08483524	0.07417435	0.058638033
a39	0.07976676	0.07421591	0.06370657	0.09315776	0.06876954	0.06399813	0.06940177	0.091196716	0.13030492	0.07459753	0.074930504	0.06633855	0.049615294
a20	0.08699527	0.07361524	0.06247048	0.0905533	0.06762069	0.06257877	0.06787111	0.083636366	0.1355516	0.073770694	0.0753119	0.071117595	0.04890699
a31	0.08675402	0.068212435	0.053350333	0.07949017	0.060501605	0.05343282	0.062106945	0.064302236	0.16401511	0.0677589	0.0758379	0.10561252	0.058624953
a24	0.055048674	0.11533905	0.006956359	0.04305001	0.009646957	0.007987562	0.01801952	0.00885496	0.04147579	0.024158148	0.042387992	0.45854932	0.16852558
a46	0.10289143	0.07036596	0.05007627	0.12951194	0.053329304	0.052561827	0.055967353	0.05385532	0.08073376	0.0678168	0.08656497	0.12077276	0.075552285
a31	0.036745157	0.06111471	0.022627631	0.07233712	0.024080442	0.025707552	0.21199997	0.29434037	0.12359058	0.039219305	0.03461567	0.035037536	0.018583965
a18	0.08186775	0.11782066	0.011772984	0.081231505	0.015345088	0.015459794	0.020730069	0.011204383	0.02863714	0.037691914	0.05995596	0.3140015	0.20428123
a31	0.051462017	0.05458391	0.045969255	0.13279465	0.048658714	0.049786028	0.07971825	0.24264894	0.05738233	0.061848722	0.07204107	0.055583563	0.04752256
a20	0.09230156	0.09263172	0.017478239	0.12883547	0.022972828	0.02504817	0.023949526	0.017762898	0.027447874	0.05585052	0.08498427	0.22162402	0.18911293
a24	0.04944714	0.05940485	0.04522128	0.14718302	0.04878966	0.049910773	0.07483132	0.20247357	0.057239793	0.06406348	0.077168666	0.06391428	0.06035214
a31	0.093183905	0.07287143	0.05274072	0.10311105	0.056472234	0.05409554	0.059621315	0.054739885	0.094973594	0.06688839	0.0810468	0.12403063	0.08622451
a23	0.003343687	0.03784768	0.0011825004	0.0036775789	0.0063298997	0.0020419091	0.035553347	0.015640348	0.021319633	0.0090770265	0.02410508	0.7269083	0.11297301
a20	0.03484161	0.045588918	0.034107093	0.09463167	0.036543235	0.037748575	0.10772948	0.32035777	0.053561207	0.046648756	0.058374207	0.07276985	0.057097718
</S>	0.06814177	0.07159049	0.061816767	0.100311816	0.0644402	0.06373223	0.07513374	0.10876115	0.08383101	0.07070746	0.077428594	0.081670225	0.072434515
