 	non	aveva	da	stare	</S>
a37	0.9422513	0.05733984	0.00016320033	0.00020770499	3.7950766e-05
a38	0.9313465	0.0650618	0.003083925	5.415317e-05	0.0004535478
a24	0.99444515	0.004554769	0.00032908435	0.00065476575	1.6242913e-05
a8	0.24971505	0.001365565	0.00031931725	0.7202816	0.028318422
a17	0.70970213	0.012829455	0.0013813446	0.27106434	0.0050228126
a31	0.056378923	0.000244859	0.00028441194	0.91571945	0.027372487
a20	0.38072556	0.0010826627	0.00081346894	0.49969572	0.11768257
a8	0.11004766	0.00084246777	0.0006674435	0.7968882	0.091554254
a31	0.16875675	0.04462837	0.05153814	0.4470622	0.28801453
a20	0.016069865	0.00014298341	0.0005283522	0.9106496	0.07260927
a31	0.0671959	0.15659899	0.16566119	0.30188814	0.30865577
a8	0.020656304	0.0032885433	0.007997103	0.24083923	0.7272188
a31	0.03650996	0.3047813	0.397738	0.22767925	0.033291493
</S>	0.042448614	0.04536373	0.121094376	0.25395823	0.537135
