 	ho	scritto	una	lettera	al	mio	fratello	</S>
a46	0.8456942	0.1291529	0.013080342	0.0056095948	0.0012906928	0.0040606344	0.0003416944	0.00076993945
a31	0.23609412	0.011700088	0.00026454672	5.6368203e-06	0.3392848	0.4099555	0.00015734303	0.0025379343
a13	0.41302907	0.014462206	0.00025014713	0.000108695844	0.2239897	0.31522366	0.0033937974	0.029542767
a20	0.08425977	0.12208458	0.00040105247	0.0003829801	0.58719194	0.19242601	0.006014104	0.0072394586
a15	0.82173496	0.07390486	0.00132666	0.0020079948	0.04489089	0.053787105	0.0021921028	0.00015542403
a20	0.6459171	0.16094814	0.0024184452	0.017316466	0.06504237	0.099440776	0.008222937	0.00069369987
a31	0.16445895	0.23376626	0.0037365546	0.09331732	0.14401901	0.2996968	0.054645758	0.0063592666
a39	0.0036206676	0.0024957557	0.00012952767	0.0021027615	0.28125793	0.6973156	0.011224193	0.0018535971
a31	0.013053645	0.07977376	0.009616429	0.028372392	0.14188522	0.2957813	0.08898515	0.34253204
a20	0.00087740534	0.00031441014	0.0014765401	0.0064956187	0.19581693	0.7114773	0.047505144	0.036036704
a31	0.12354494	0.29865974	0.033849474	0.019971533	0.13382569	0.23615299	0.016402446	0.13759321
a7	0.011219951	0.004389403	0.015683942	0.028747272	0.21546313	0.55112	0.06627532	0.107101
a46	0.33708343	0.30906448	0.07515998	0.04330154	0.08324373	0.13656312	0.010550319	0.005033494
a39	0.24250554	0.18975483	0.16937964	0.11806261	0.11653033	0.093813695	0.043650392	0.026303012
a31	0.19478881	0.15510009	0.04792983	0.031440586	0.16488685	0.18702205	0.039827377	0.17900449
a46	0.07082153	0.2625108	0.17570272	0.12378699	0.08119187	0.07520416	0.0575976	0.1531843
a0	0.18840528	0.14003469	0.13344234	0.12309791	0.11744405	0.1332347	0.0989984	0.06534265
a27	0.45691606	0.21908818	0.058657464	0.050161667	0.05867503	0.06258983	0.045930516	0.047981232
a20	0.37562168	0.17347802	0.08470171	0.07404892	0.08392563	0.08560025	0.064056136	0.05856768
a0	0.39633277	0.17524359	0.07759127	0.07035142	0.07744991	0.07974765	0.0638995	0.059383925
a14	0.4575937	0.1936493	0.0651587	0.061019067	0.062419172	0.06254621	0.05452839	0.04308551
a0	0.3990799	0.17380108	0.078954354	0.07354261	0.07576084	0.07580029	0.06648788	0.056573015
a46	0.43771562	0.18325123	0.070507355	0.06702192	0.06650251	0.06578128	0.060759112	0.048460983
a20	0.22327971	0.14772306	0.12586859	0.122179285	0.111644484	0.10432286	0.10134004	0.063641995
</S>	0.41622475	0.17730018	0.07573058	0.06992054	0.06694733	0.065711334	0.06555436	0.06261089
