 	venne	scritto	</S>
a31	0.9604466	0.038714193	0.00083922007
a28	0.1075761	0.892229	0.00019484207
a8	0.4106594	0.58926713	7.3461895e-05
a31	0.55404526	0.4455421	0.0004126672
a20	0.8295413	0.14838907	0.02206959
a31	0.5406861	0.45821795	0.0010958974
a13	0.7415285	0.23597302	0.0224985
a29	0.6315326	0.3585071	0.009960296
a39	0.6782987	0.22369945	0.098001815
a31	0.74164355	0.19186157	0.06649493
a35	0.43592927	0.49051845	0.07355233
a31	0.4053603	0.31695983	0.2776799
</S>	0.22639559	0.53187674	0.24172768
