 	stava	ancora	cucinando	</S>
a8	0.9819248	0.017948667	0.00011958042	6.9228004e-06
a46	0.8223117	0.15277618	0.024599094	0.0003130463
a24	0.99192834	0.0056657493	0.0023539958	5.2055242e-05
a37	0.011888818	0.23878801	0.7275242	0.021798953
a20	0.042907987	0.17076345	0.78132683	0.0050017075
a31	0.0025707306	0.1517608	0.8225597	0.02310878
a37	0.37972265	0.592968	0.027262716	4.662717e-05
a31	0.038396746	0.37976974	0.5756176	0.006215985
a20	0.09139921	0.5166921	0.39054912	0.0013595197
a31	0.019653881	0.21778898	0.759395	0.0031622013
a6	0.036948945	0.34914732	0.61309576	0.00080797955
a31	0.10753612	0.13542159	0.7522701	0.0047721528
a20	0.12583345	0.43020037	0.33867258	0.10529361
a46	0.6439195	0.10696383	0.17716485	0.071951896
a31	0.1777442	0.07018387	0.5405902	0.21148166
</S>	0.090740554	0.32432935	0.40865645	0.17627361
