 	non	ci	dimentichiamo	mai	</S>
a31	0.7518323	0.14004532	0.10809258	1.464172e-05	1.5122412e-05
a20	0.87028044	0.025613284	0.09653317	0.0055181338	0.002054952
a31	0.6122953	0.004484953	0.3282171	0.03072392	0.024278754
a11	0.94416654	0.0054383804	0.04685875	0.0018709122	0.0016654279
a20	0.98928505	0.002431131	0.006144245	0.00049879047	0.0016408068
a31	0.58328664	0.0013467751	0.41148496	0.0018070702	0.002074525
a11	0.37717545	0.07378508	0.48065647	0.049592927	0.018790135
a31	0.44141048	0.0044590402	0.53807944	0.0038826584	0.012168356
a18	0.11428207	0.14343832	0.60768425	0.089124516	0.04547082
a42	0.004695985	0.00744693	0.9752191	0.0040816395	0.008556418
a31	0.16492496	0.03322443	0.26593322	0.18377632	0.35214102
a18	0.21107762	0.17699802	0.18838286	0.20345204	0.22008945
a31	0.09764463	0.20651624	0.31941813	0.14637715	0.23004389
a39	0.011830717	0.19280949	0.16558707	0.2573986	0.37237412
a31	0.09459769	0.44066522	0.21701506	0.10820718	0.1395149
a20	0.0028469372	0.19473338	0.16042516	0.27356988	0.3684246
a39	0.06950804	0.5403479	0.14721099	0.093364224	0.14956886
a31	0.08621672	0.09735945	0.33873364	0.17423399	0.30345622
a14	0.02989697	0.049842186	0.08336487	0.30391493	0.53298104
a46	0.12714116	0.36263353	0.18451183	0.14116272	0.18455073
a20	0.18694362	0.20300397	0.21593797	0.18856658	0.20554781
a31	0.18499207	0.14242499	0.26396966	0.17858577	0.23002751
</S>	0.06760876	0.033030733	0.1356244	0.24445707	0.51927906
