 	sta	e	dorme	nel	letto	</S>
a33	0.7570831	0.038874544	0.19994964	0.0034983251	0.00036405856	0.00023032997
a31	0.47019684	0.1148323	0.2608314	0.13453814	0.019046823	0.0005544493
a37	0.030832276	0.010838082	0.47016722	0.4597206	0.010323777	0.018118076
a31	0.0012801473	0.2843047	0.15284291	0.5569974	0.0019196736	0.0026552046
a13	0.0049187304	0.11967846	0.4166057	0.45154378	0.002395662	0.0048576207
a20	0.0015116729	0.22938903	0.23726836	0.51638454	0.013435874	0.0020105415
a24	0.04768813	0.3872393	0.23237494	0.31948617	0.012208818	0.0010026048
a28	0.007850999	0.12550971	0.5762602	0.1606854	0.08831873	0.04137502
a31	0.009207234	0.30210793	0.36654475	0.09523886	0.13382718	0.09307405
a35	0.0003979643	0.016588956	0.67448336	0.25249195	0.026473613	0.029564187
a18	0.013409334	0.089154914	0.72783023	0.155211	0.012365315	0.002029347
a31	0.0053955833	0.09833822	0.14296573	0.068451814	0.60620487	0.07864379
a13	9.4847266e-05	0.0013840897	0.28512844	0.39414367	0.1631405	0.15610841
a39	0.018658092	0.011358072	0.59148425	0.30194274	0.0672087	0.009348172
a31	0.034811586	0.039680284	0.14526118	0.1493861	0.56812805	0.062732846
a21	0.00019933241	0.004523444	0.0076267235	0.06182051	0.87897813	0.046851836
a31	0.083728656	0.0547093	0.38229996	0.26324025	0.16549903	0.050522704
</S>	0.003938101	0.06189116	0.0060301092	0.023679545	0.8523563	0.052104764
