 	vuole	vuole	mangiato	caldo	</S>
a37	0.9785734	0.018114662	0.0011073771	0.0019540787	0.00025044332
a31	0.3194849	0.3969537	0.28340283	2.033653e-05	0.00013829579
a41	0.2556101	0.37542096	0.3688506	3.6664333e-06	0.00011463508
a31	0.15349877	0.40775484	0.43864685	2.9566884e-06	9.665967e-05
a11	0.8497215	0.042644452	0.107156	2.2405823e-06	0.00047578875
a20	0.8235993	0.17260954	0.0037627912	4.524472e-06	2.4004106e-05
a31	0.87325716	0.08004128	0.0234544	0.006580536	0.016666608
a18	0.25982156	0.18110998	0.3144941	0.0047200844	0.2398543
a31	0.4559074	0.2885335	0.1301247	0.04598051	0.07945386
a20	0.032808457	0.0055973204	0.004540199	0.0016760282	0.95537806
a21	0.13542782	0.1338836	0.06971592	0.46720034	0.19377227
</S>	0.060594853	0.077818096	0.05990758	0.65112436	0.15055507
