 	Anna	ora	sta	vicino	a	me	dormendo	</S>
a8	0.9864829	0.0063662427	0.0024510836	0.0043682205	0.00023049032	4.8271395e-05	1.11045065e-05	4.1664323e-05
a31	0.855746	0.1171546	0.008940191	0.0012312913	0.0011682719	0.00075394235	0.002685875	0.012319838
a8	0.52153385	0.4720175	0.0045970757	0.00071026845	0.0008079199	0.00013418688	5.7902816e-05	0.00014126985
a31	0.18185514	0.7956146	0.004117388	0.008530047	0.009716832	3.513214e-05	8.130319e-06	0.00012276293
a17	0.10941421	0.87852633	0.0043991166	0.0034789525	0.0025138846	0.00018884402	4.6883964e-05	0.0014317523
a18	0.085454516	0.88997936	0.010795119	0.007780176	0.0057330807	5.3237083e-05	8.320536e-06	0.00019612108
a31	0.16205645	0.8218329	0.01002688	0.0028640912	0.002355215	0.00024543257	6.805869e-05	0.0005509325
a17	0.0198536	0.583925	0.16500774	0.1067085	0.12320423	0.00040033052	0.00038744198	0.0005131757
a30	0.11869206	0.76805425	0.06764407	0.038466416	0.0046035484	0.00090769056	0.0007624184	0.00086947944
a17	0.029336102	0.73594505	0.10997562	0.026516346	0.060353376	0.004356074	0.0065766093	0.026940804
a39	0.04695451	0.8083686	0.0553292	0.07726126	0.009026414	0.0007376294	0.0005930434	0.0017293186
a17	0.050260466	0.61972815	0.075622864	0.08527924	0.12246447	0.005819609	0.010173397	0.030651817
a31	0.06769445	0.56988657	0.1312703	0.17380144	0.048686557	0.0021742422	0.003484248	0.0030022631
a17	0.08643926	0.39527044	0.20312986	0.08379295	0.19509403	0.00560505	0.011631307	0.019037014
a20	0.24028	0.28778	0.19480044	0.20943008	0.033949748	0.008292154	0.010588737	0.0148788495
a27	0.08877109	0.21754842	0.08470791	0.19033359	0.3117914	0.017002536	0.044413008	0.045432117
a20	0.09421046	0.2022606	0.0919993	0.2215806	0.2537877	0.022339378	0.054196052	0.05962589
a31	0.08931947	0.19093949	0.08179284	0.21895015	0.25255552	0.022837486	0.057503954	0.0861011
a18	0.07924216	0.36978278	0.11940257	0.037292957	0.2975885	0.048412796	0.022669207	0.02560906
a31	0.12851852	0.09029223	0.11731288	0.34169132	0.1189414	0.060117885	0.059173036	0.08395271
a13	0.14112751	0.21366046	0.121744476	0.04045693	0.15476193	0.17650144	0.06609185	0.085655406
a20	0.09358875	0.08256084	0.0955101	0.37786508	0.11919275	0.075664386	0.071919695	0.083698384
a31	0.12130602	0.09660629	0.108563624	0.2600881	0.12320762	0.06590773	0.089168735	0.13515188
a28	0.11664915	0.15844157	0.09077232	0.04896239	0.111552455	0.25724012	0.08346451	0.13291752
a31	0.09584958	0.08674629	0.094178006	0.33917066	0.118399754	0.0867395	0.08279615	0.09612008
a8	0.10323677	0.050203633	0.08204609	0.060315356	0.074545965	0.2538473	0.115430206	0.26037467
a17	0.091176696	0.07876897	0.09188707	0.43780845	0.123778895	0.07973989	0.05925133	0.037588734
a8	0.106658034	0.091315545	0.10527388	0.36961395	0.12135129	0.08581231	0.07190854	0.048066434
a23	0.10262739	0.07651805	0.10001359	0.4018964	0.12160996	0.079218656	0.064019255	0.054096773
a8	0.114980705	0.06893144	0.10700243	0.40825045	0.12656203	0.07245037	0.054362476	0.04746004
a20	0.11194106	0.0641732	0.11155974	0.4022466	0.12953368	0.070289835	0.053064834	0.05719108
a31	0.16971637	0.06369701	0.14142384	0.24203295	0.1217609	0.050793517	0.067894936	0.14268047
a39	0.16464446	0.13841388	0.15465087	0.036279585	0.09874858	0.17884503	0.102156594	0.12626101
a18	0.08488459	0.06814959	0.08548053	0.43504843	0.12638892	0.08036833	0.061231103	0.058448523
a37	0.12512644	0.08789584	0.114294685	0.3082521	0.11489652	0.07693202	0.08044757	0.092154816
a31	0.12068749	0.090250015	0.11094908	0.2905232	0.11453977	0.077648416	0.08665174	0.10875022
a8	0.12333897	0.108015485	0.09763366	0.055306405	0.09182362	0.24473318	0.10561217	0.17353651
a23	0.0933273	0.08790127	0.10329435	0.3700415	0.117906794	0.08722121	0.074600846	0.065706804
a37	0.120797165	0.099461555	0.11708185	0.3510689	0.12160128	0.08260009	0.069065385	0.038323764
a8	0.10508094	0.07487255	0.09369187	0.2602485	0.10333526	0.0684106	0.094997376	0.19936293
</S>	0.10101725	0.0840814	0.1023967	0.3866586	0.11917325	0.081199065	0.06940742	0.056066293
