 	avete	cucinato	le	verdure	</S>
a31	0.77187186	0.22328432	0.0038517534	0.0009098425	8.227942e-05
a46	0.031054689	0.7618511	0.1829496	0.024044579	0.00010003499
a20	0.44576925	0.00013005233	0.17931159	0.37449288	0.00029620627
a31	0.37465683	0.00019057642	0.027916826	0.59616053	0.0010751673
a17	0.12161882	0.0012196233	0.037346117	0.8341801	0.0056352494
a31	0.27083597	0.0024933657	0.0066378755	0.7031256	0.016907202
a35	0.12145584	0.1301507	0.0879471	0.6310897	0.02935668
a31	0.42886865	0.008786027	0.026710464	0.44165105	0.09398381
a46	0.015587646	0.17794532	0.07553406	0.47696355	0.25396943
a38	0.5919668	0.027247276	0.06486078	0.25983784	0.056087323
a17	0.28245926	0.06808514	0.11940338	0.42515332	0.10489896
</S>	0.0984327	0.07289632	0.14626034	0.5521498	0.13026094
