 	se	aveva	vestito	la	figlia	l	avessi	portato	alla	chiesa	</S>
a23	0.18783683	0.016718483	0.010092987	0.0034578638	0.003127276	0.008933896	0.009332689	0.39859217	0.3267081	0.03374879	0.0014509548
a31	0.027234102	2.0975307e-05	5.8139162e-06	2.3864166e-05	0.0010714713	0.00077948446	0.054948237	0.03572123	0.06596839	0.81146574	0.0027606885
a20	8.850321e-05	3.95015e-06	7.4181175e-06	2.4979578e-05	0.011101066	0.006722095	0.0040091644	0.050236885	0.38925844	0.5333929	0.0051545547
a13	0.040814888	4.9935884e-06	4.908798e-07	0.00030178242	0.010620422	0.003908274	0.11536614	0.13265139	0.21919805	0.46770677	0.00942684
a37	0.04518319	1.9057412e-05	4.1661056e-06	0.014372216	0.062353477	0.00900494	0.060752403	0.33741263	0.18069302	0.28940207	0.0008028258
a31	0.09033086	8.2164894e-05	2.2983611e-05	0.009818177	0.06549938	0.002163301	0.042048573	0.09214536	0.21756226	0.4770484	0.0032785225
a43	0.010737231	1.0567897e-05	4.8564598e-05	0.060531717	0.5479211	0.12281807	0.108776234	0.096346326	0.048895042	0.0037058783	0.00020920637
a31	0.022420865	9.145077e-06	5.435171e-06	0.0007636401	0.00269953	0.0014458005	0.013089241	0.026496174	0.023124952	0.907112	0.0028333126
a24	0.02212782	1.7469207e-05	7.597408e-05	0.004449782	0.8195923	0.03618484	0.06155791	0.034688167	0.009985073	0.0110845035	0.00023626247
a7	0.09689784	0.000111871545	7.1355666e-05	0.0018593976	0.013409277	0.021630678	0.027931092	0.0609858	0.045076177	0.70903623	0.022990296
a31	0.047137138	0.00091674324	9.214145e-05	0.00013832228	0.019192105	0.014424799	0.052658834	0.06629876	0.049157213	0.6889398	0.061044075
a13	0.073094346	3.0737334e-05	0.00026276184	0.0007627232	0.54634875	0.20678233	0.062281914	0.054393716	0.018470727	0.036529437	0.0010425578
a28	0.018077904	0.0002235304	2.9251292e-05	0.001023407	0.07197515	0.01710986	0.028574662	0.032797366	0.03438592	0.75335366	0.042449344
a20	0.38604668	0.0037527063	0.00048083265	0.0030071565	0.049133055	0.034523167	0.02258652	0.10821522	0.04653506	0.2007147	0.14500488
a31	0.108816974	0.004298249	0.00028592467	0.0010925339	0.13042329	0.27698568	0.03610203	0.14392637	0.049813107	0.22579776	0.022457987
a37	0.00265961	2.4750014e-05	0.00014688888	0.00013344699	0.026440714	0.84913677	0.021753874	0.048714224	0.039577343	0.006305785	0.0051065413
a1	0.045274552	0.003942153	0.00024260589	0.00038715886	0.08306484	0.08872641	0.1691326	0.13516968	0.22784817	0.22845054	0.017761298
a28	0.06483834	0.013849688	0.0012417805	0.0016328098	0.026355052	0.27671495	0.07074136	0.2665569	0.104934536	0.15024386	0.0228907
a1	0.09044859	0.014107	0.0015271738	0.006525198	0.06591625	0.1389662	0.057107866	0.19352938	0.11882578	0.18275979	0.13028671
a28	0.026887106	0.0039500706	0.00086782785	0.0012217087	0.023873372	0.6237543	0.057369824	0.17029838	0.04937624	0.031441227	0.010959921
a31	0.086303085	0.012752013	0.002054664	0.0026921595	0.023553303	0.09366708	0.10629725	0.31687346	0.13825893	0.09640208	0.12114591
a20	0.0055321218	0.00084609183	0.0013130573	0.0011320102	0.0052532507	0.10296387	0.015140439	0.03180168	0.13370876	0.56935686	0.13295187
a31	0.015648153	0.013990308	0.0060311286	0.0063285064	0.02162427	0.30161527	0.1274625	0.10225074	0.19503036	0.1811186	0.028900234
a20	0.0041998215	0.006850521	0.004488009	0.0057687666	0.002550488	0.0057840534	0.02295494	0.036715735	0.05592947	0.7464584	0.10829985
a31	0.060976356	0.08267018	0.048972987	0.052416928	0.0565857	0.15498029	0.14042462	0.09393255	0.14650391	0.14298028	0.019556204
a8	0.0057729827	0.06416225	0.018609133	0.0642672	0.018060446	0.012846369	0.03672551	0.056883097	0.06615656	0.43598917	0.22052734
</S>	0.13397606	0.1449699	0.12667093	0.13941991	0.09732113	0.090920776	0.073295146	0.07102519	0.08273996	0.028509155	0.011151852
