 	e	forse	è	entrato	dalla	finestra	il	ladro	</S>
a33	0.9258662	0.026871633	0.003835243	0.016680395	0.007364913	0.0014073607	0.00018728121	0.017454432	0.0003325125
a31	0.856322	0.08922562	7.5165044e-05	0.00023519329	0.0046512014	0.00026743131	0.0010814166	0.04636945	0.0017724182
a37	0.011972302	0.0040720324	5.5849414e-05	0.0005174254	0.05790418	0.0002211054	0.0015458721	0.9174617	0.0062496476
a20	0.17272338	0.1791152	9.934279e-06	3.181735e-05	0.0037131622	1.217882e-06	0.0042628795	0.6369163	0.0032260898
a28	0.029615056	0.035533745	0.00052917487	2.1166943e-05	0.0027922625	4.8548747e-05	0.0039223363	0.9257058	0.0018320183
a37	0.43293667	0.27444553	0.0022625006	9.480115e-05	0.023499824	9.759244e-05	0.012499292	0.25299242	0.0011714628
a18	0.73652524	0.18460505	0.00083914195	0.00016408	0.01679644	4.7207926e-05	0.00893026	0.051555112	0.0005374184
a31	0.73936236	0.1458019	0.000974584	0.0007675269	0.015893808	0.00015277747	0.016541844	0.07875442	0.0017506913
a0	0.340177	0.24711476	0.00050904625	1.0462446e-05	0.020572823	0.00016462675	0.04737647	0.33075464	0.013320167
a13	0.79190004	0.13383864	0.0014161392	0.0030394911	0.013480453	0.00018152736	0.003013638	0.050564557	0.0025654512
a31	0.12803465	0.7264547	0.00843359	0.016425971	0.046269298	0.0027894592	0.022584528	0.034767218	0.014240637
a41	0.17056039	0.035400487	0.0025468972	0.00016642959	0.011115397	0.0003867324	0.0712592	0.6724473	0.036117192
a24	0.82945055	0.0900612	0.0012799166	0.0067727417	0.017476287	0.0024973569	0.0026616317	0.04502113	0.004779145
a37	0.11873034	0.72744393	0.006804322	0.021690845	0.058666296	0.0055257794	0.017616412	0.01497737	0.028544754
a31	0.22447085	0.3394698	0.034411445	0.06646682	0.043395225	0.05897536	0.05020913	0.04864969	0.13395168
a28	0.046705548	0.097908325	0.014330555	0.0018146184	0.03210555	0.00073768606	0.07475176	0.58490473	0.14674124
a11	0.77082235	0.09999216	0.0054879487	0.013971173	0.017944919	0.017855434	0.012646916	0.03478879	0.026490236
a39	0.3492686	0.3078765	0.024785932	0.0428995	0.044209644	0.072664365	0.036189035	0.05111972	0.07098672
a46	0.3610464	0.19964984	0.02211131	0.040047348	0.052881256	0.09397589	0.04361741	0.067832015	0.118838586
a49	0.33014327	0.13058522	0.045443106	0.061121464	0.069983006	0.14616805	0.06729231	0.08144226	0.06782132
a31	0.12747097	0.10472735	0.015749145	0.031993475	0.020457108	0.046710905	0.025943698	0.16581947	0.46112785
a33	0.008282715	0.04143859	0.048064608	0.012120632	0.006593381	0.004710258	0.029200265	0.4546096	0.39497995
</S>	0.37638897	0.10135928	0.07440206	0.07398805	0.06808816	0.11213438	0.11341897	0.043047797	0.037172284
