 	non	ho	cosa	a	fare	</S>
a8	0.96302825	0.029671308	0.0053236294	0.0016015226	0.0002842394	9.105637e-05
a31	0.50835514	0.4698852	0.004937794	0.0001706749	0.0035113133	0.013139842
a37	0.9327498	0.04088906	0.025717637	3.510718e-05	0.00013508067	0.00047339944
a11	0.8065283	0.16094494	0.023248201	0.0018896833	0.003433015	0.00395595
a13	0.7760935	0.20187747	0.010912097	0.0015091544	0.009002893	0.00060496334
a20	0.78018516	0.12796433	0.0077492134	0.01770674	0.059355903	0.007038619
a31	0.5304086	0.09990552	0.008243378	0.08618369	0.24449076	0.03076798
a8	0.046556115	0.19402964	0.045168433	0.43469772	0.2495076	0.030040495
a31	0.05099738	0.0128646055	0.008875101	0.11388147	0.46629432	0.3470871
a46	0.10345933	0.32656172	0.24082112	0.032767493	0.13118309	0.1652072
a8	0.14750801	0.08921815	0.073337205	0.14687857	0.34473357	0.19832458
</S>	0.12076729	0.096778706	0.09327706	0.41260576	0.21095718	0.06561402
