 	sicuramente	stanno	ancora	svegli	</S>
a17	0.99929106	0.00070638664	5.4152923e-07	1.8503375e-06	3.02978e-08
a24	0.72606105	0.17031404	0.06647267	0.0026876098	0.034464505
a28	0.14176773	0.45497188	0.17857221	0.049306855	0.17538136
a37	0.55158633	0.4320661	0.0092648845	0.00075344497	0.006329259
a18	0.10344226	0.34679654	0.4626853	0.034408435	0.05266753
a39	0.0028524902	0.1798174	0.775854	0.02646846	0.015007607
a31	0.0035939647	0.12835172	0.8444341	0.012299314	0.011321052
a39	0.063052155	0.57770723	0.17383513	0.10186993	0.08353555
a31	0.0017876835	0.19789016	0.7985601	0.0013241322	0.00043790898
a46	0.0065768287	0.23476504	0.48768175	0.04706453	0.2239119
a31	0.009864041	0.09111113	0.8966455	0.001748864	0.0006304508
a18	0.0064989906	0.079100356	0.76514345	0.064221404	0.085035734
a31	0.060459863	0.07110169	0.8441071	0.01773426	0.006597096
a39	0.031167543	0.048872292	0.85155416	0.0483683	0.020037694
a31	0.2675019	0.09071587	0.5822131	0.04591202	0.013657077
a41	0.13413757	0.043937974	0.72346437	0.07523417	0.023225937
a39	0.58762497	0.057597272	0.28386056	0.05964619	0.01127094
a28	0.07181482	0.06477974	0.5139763	0.2768374	0.072591744
a20	0.03847394	0.03447506	0.5034056	0.2802729	0.1433725
a31	0.027770115	0.045679502	0.37950423	0.38331547	0.16373068
a39	0.00642326	0.15029837	0.5906036	0.12657091	0.12610379
a35	0.31487194	0.10296	0.20163241	0.3476133	0.03292234
a31	0.20401536	0.20407997	0.19241436	0.34632304	0.053167224
a11	0.008672338	0.12781006	0.47094697	0.18701684	0.2055538
a18	0.18564007	0.11703171	0.1689608	0.46642408	0.06194334
a24	0.17233847	0.17463921	0.20315227	0.35285223	0.0970178
a31	0.0922796	0.123322986	0.27440467	0.3285682	0.18142454
a18	0.014414721	0.079684384	0.49505973	0.20415841	0.2066828
a31	0.14051785	0.1354787	0.16802265	0.42977014	0.12621069
a18	0.04293223	0.088669926	0.3397361	0.10902645	0.4196353
a15	0.1200814	0.13144903	0.14708696	0.54034853	0.061034
a8	0.17239709	0.17126344	0.17842203	0.3491386	0.12877882
a39	0.16656141	0.16481411	0.17459847	0.35302874	0.14099719
a31	0.14589454	0.14973597	0.1749109	0.358347	0.17111152
</S>	0.05127374	0.09730129	0.36583126	0.14152826	0.34406543
