 	mia	sorella	quest	anno	che	vienne	studierà	per	medico	</S>
i	0.83869005	0.148973301	0.00169164915	0.003974236054	0.00173396189663	0.0024138304147	0.00132333724	0.000789530783955	0.000118561370236	0.000291558368993
a	0.65224791	0.205152517	0.137923782817	0.00224373718733	0.000668758219963	0.0008951311147	0.000461652876667	0.000266877427288	3.98003735693e-05	9.98640089927e-05
d	0.454967363333	0.251426092333	0.240237880939	0.0280029921958	0.00968686422999	0.0036188229049	0.000422079428889	0.00807953998576	0.00195894233786	0.00159943140966
e	0.273879111111	0.509324190778	0.148020771313	0.0357394795919	0.01269128639	0.00453461951163	0.000426033450963	0.0106866714533	0.00259876019892	0.00209912874805
r	0.15138622037	0.666953713593	0.109264261438	0.0174659060573	0.0126491497767	0.0140819803805	0.000945739291654	0.0225978756091	0.00263487861927	0.00202032299418
f	0.10574699679	0.428006831198	0.0983411728127	0.0315821226858	0.0764471212589	0.14378996546	0.0219341419306	0.0827429528697	0.00350895287309	0.00789974246473
ì	0.05197346193	0.296895010399	0.125058433271	0.0967489742286	0.112932853753	0.184272568487	0.0326741389769	0.0880386516232	0.0023370560777	0.00906884638824
m	0.114843473643	0.3317232668	0.220617944424	0.113065886743	0.0629894063843	0.0714468916957	0.0155795159256	0.0380925648744	0.0094002921459	0.0222407323627
m	0.374172611214	0.219074874267	0.183134373808	0.0833823609143	0.0261662639281	0.0248079418319	0.00640471090853	0.0184156540581	0.0173947777153	0.0470464274542
u	0.367191066738	0.098879407089	0.280722173603	0.160924133638	0.0214904743094	0.0114010030106	0.00327754419284	0.0076973192527	0.0117487154838	0.0366681536047
f	0.137939568579	0.0573433006963	0.340240357868	0.239580571213	0.0492718477698	0.0222158953369	0.00200694692095	0.122750555551	0.0111974540733	0.0174534506549
è	0.0606381938597	0.0461435805654	0.248099985956	0.348197210404	0.0769120092566	0.0314661954456	0.00477405360698	0.16145254505	0.0110367111364	0.0112794821616
t	0.0309395506199	0.0360099691885	0.234170025319	0.441706623468	0.0841252417522	0.0247440021485	0.00619785653566	0.107059354883	0.0145880958241	0.0204592776639
i	0.020516334671	0.0216466182895	0.13557959244	0.597421851156	0.0780694345841	0.0159046811162	0.00339879004189	0.0884272839277	0.0157540461634	0.02328138255
p	0.00842311835467	0.00921458932317	0.05881556648	0.623581523719	0.174849116861	0.0317275697721	0.00163217391063	0.0734687736092	0.00766601294313	0.010621566512
ò	0.00458525777156	0.00680541987439	0.0595289904933	0.50135340124	0.285919088954	0.0595582232574	0.00170943517021	0.0689151336364	0.00499356019438	0.00663151833733
r	0.00514047024385	0.00709751005813	0.0607049941644	0.436955063747	0.361263889651	0.0770957844191	0.0023109378234	0.0349663853121	0.00423898037813	0.0102260256124
k	0.0167826520813	0.00619477611938	0.0402595320548	0.466280731249	0.349823839884	0.0688610868064	0.0030201742078	0.023375390404	0.00499247532604	0.0204093615375
e	0.0173034123271	0.00288911343646	0.0228190978183	0.519969437083	0.309656303295	0.0958282876021	0.00239477543593	0.008976885768	0.00273096857668	0.0174317365125
t	0.00869540674237	0.00346401087549	0.0132191747394	0.332038635694	0.318853441098	0.248074439201	0.00397286851198	0.049175137256	0.00394759856023	0.0185592968375
e	0.00578108792312	0.0035865273985	0.0092177528298	0.175425431898	0.251720613699	0.461541809734	0.00523555703733	0.064300597752	0.00462885447674	0.0185617767125
e	0.00200094591004	0.0012863441995	0.0038736025266	0.114883759299	0.162978248566	0.654348889911	0.00787160654578	0.042118969584	0.00316182954891	0.00747583348417
n	0.00136091056335	0.000890469893167	0.0038875418422	0.082060943433	0.177856846855	0.624901503304	0.0183685071819	0.0454048621947	0.00777735994964	0.0374910626414
a	0.00111824660112	0.000789075004389	0.0033396874574	0.062401006811	0.197702728952	0.565953641101	0.0269862960606	0.0746847080649	0.0111167029832	0.0559079002138
s	0.00435195828037	0.00487175360813	0.00589188566247	0.0348037696037	0.142449719651	0.6261163937	0.0216252911869	0.108004741022	0.0130379643277	0.0388465450713
t	0.00691208676012	0.00668521460271	0.00793119422082	0.147493296535	0.12663172655	0.5143089879	0.0154773635623	0.0999128020073	0.0138380464426	0.0608093193571
u	0.00385005565337	0.0028448216809	0.00408011313361	0.185613188178	0.0867622585167	0.3946484393	0.0669292298541	0.118509597336	0.0272454474809	0.109516889786
d	0.00406376828446	0.0035831715403	0.0050379317712	0.0779351410593	0.0774913058389	0.451208179767	0.084434550618	0.171127342445	0.0319935551603	0.0931250905953
i	0.00413619562149	0.00384647313343	0.0053116382304	0.0353320060198	0.0681991562796	0.381489771256	0.131758377539	0.288247517482	0.0275133207201	0.0541655675318
è	0.0019380364005	0.00225240833114	0.00247413275013	0.0137648727399	0.0273344117599	0.176352024419	0.223393892513	0.432751212494	0.07737041124	0.0423686268439
t	0.00237357226683	0.00328882567705	0.00261328081671	0.00689089664663	0.0160950835866	0.0897128741397	0.291254164171	0.382023337498	0.160332643747	0.0454153252813
s	0.00273764048894	0.00349754222568	0.0028484380389	0.00805347588221	0.0135203801955	0.0619706940466	0.43218678139	0.214692042499	0.157381084582	0.103111867094
i	0.00166801466498	0.00193772087556	0.00179802167463	0.00665491976074	0.0073010925585	0.0313392063489	0.530096273797	0.1547861375	0.129011828194	0.135406719031
j	0.00103862102366	0.00100803755885	0.00119521951988	0.00446172155358	0.0117849880128	0.0599191244496	0.519890404599	0.212332955833	0.100634352731	0.087734535677
a	0.000846311014553	0.000736411819617	0.00099952015896	0.00359090765453	0.0132620376543	0.0691023370832	0.3785655382	0.407979901944	0.0858758442437	0.0390411802257
m	0.00130073211152	0.00123738657321	0.00140846803865	0.00306063035484	0.00954670753477	0.0459616946277	0.3052331794	0.487612833981	0.117639914748	0.0269984747419
è	0.00196353653717	0.00250044765774	0.00200106444622	0.00304128111828	0.00875888491159	0.0386853854759	0.343920726467	0.404953271327	0.134156888249	0.0600185372473
d	0.00946246201239	0.00998634388591	0.00898611738207	0.00880822953943	0.0138639003705	0.0327659647586	0.366829988822	0.340629873776	0.119514649416	0.0891525007491
i	0.0114806386308	0.0114469558753	0.0108780016307	0.0106395953965	0.0151081250035	0.0297506701862	0.335770249607	0.229903677925	0.178630173139	0.166391971916
k	0.0049988199036	0.0051700992051	0.00461882328023	0.00479926968217	0.00694455404783	0.0148316529954	0.209038243202	0.142171345975	0.380129207713	0.227298037305
o	0.00286580534453	0.00313956648503	0.00252778387008	0.00278387868406	0.00418899264594	0.00977603879847	0.115551522401	0.121383678658	0.498927769238	0.238855022435
</S>	0.00155032613727	0.00181879686752	0.00130057375004	0.00144991702703	0.00214835851797	0.00501616609923	0.0890031282005	0.122364849329	0.502228469619	0.273119486218
