 	Marika	è	che	si	sposa	domani	</S>
M	0.88523981	0.0523393915	0.006395218	0.009600048661	0.0101484574825	0.0318826426	0.004394421694
a	0.92383536	0.0543333415	0.00292862943333	0.003262813781	0.00343867249917	0.0106770569133	0.001524128584
r	0.67093681	0.102154140167	0.0553544482444	0.006293516047	0.00865407718306	0.0517576632844	0.104849303751
ì	0.310055496667	0.268198986722	0.143621316081	0.0324944710157	0.0236016047277	0.0762556484281	0.14577247225
k	0.177797233556	0.431549585574	0.210636732027	0.0424368330052	0.0266541739092	0.0479279578094	0.0629975200833
a	0.0853543499853	0.600084635191	0.218882390676	0.0234265996684	0.0152550839697	0.0279463524365	0.0290506465611
è	0.0406669274618	0.60625846173	0.256644130225	0.0187950695561	0.0371137049899	0.0254556739788	0.0150660337204
n	0.0352618034873	0.404575440577	0.413390310075	0.0443601201854	0.04939679233	0.0299891706596	0.0230262912401
a	0.0224204043158	0.224631770192	0.395094100025	0.225371636728	0.0544851167767	0.0401201338865	0.0378767854134
r	0.0119178989253	0.104034556731	0.215515033342	0.529514792243	0.0523909615922	0.0386306674955	0.0479960344711
m	0.0139296213084	0.12626260891	0.126070494447	0.649722777414	0.0263528471974	0.0142108738318	0.0434507218237
a	0.0104362513761	0.14465149497	0.0761562274823	0.510667359138	0.208735698399	0.0128210940773	0.0365318499412
s	0.022850007732	0.0872009223233	0.0589091338274	0.391837253046	0.2660037478	0.0139176651591	0.159281273314
t	0.0355309529107	0.182085432774	0.0952375532758	0.345629067682	0.1202307976	0.010434661853	0.210851593105
ì	0.0215171980702	0.196376745591	0.0837499227586	0.209454520561	0.279930265867	0.047154875951	0.161816569702
à	0.00849048989007	0.0698089294637	0.0307161411195	0.077376001187	0.356058918622	0.215430751984	0.242118856567
v	0.0177873130634	0.0394137570879	0.0340288955732	0.112344156729	0.246153829541	0.298674767328	0.251597328856
v	0.0292670863545	0.039525754696	0.0399656138577	0.12826375091	0.32821408318	0.274676772443	0.160086939619
r	0.0198636921182	0.0262721662987	0.0203850364859	0.05043237377	0.29595321206	0.279375414148	0.307718099873
i	0.00803214468373	0.0113105442229	0.0085724202253	0.018841580485	0.117143549853	0.192294631383	0.643805123291
</S>	0.00402266330836	0.00573403519645	0.00432756740765	0.009477621885	0.0612515871765	0.125178550691	0.790007961646
