 	vuole	andare	a	Lecce	</S>
i	0.59191426	0.0270602035	0.131078976344	0.00506875935	0.244877717226
t	0.527942252333	0.0134582696	0.0582434616777	0.313184682683	0.087171280893
è	0.449979583111	0.0657880449667	0.0339684322336	0.415672235894	0.0345916676743
l	0.57570844437	0.242075701656	0.0117252825189	0.151377606965	0.0191129412681
i	0.371326498123	0.503728147219	0.0231224196063	0.078455799655	0.0233671610894
n	0.161892426041	0.643104692406	0.0631292765354	0.0728059625517	0.0590676560298
a	0.0694609430137	0.624279964135	0.133101222178	0.0629182248506	0.110239638677
p	0.0599660406712	0.499274241378	0.237450080726	0.0724933936169	0.130816222892
à	0.0652490635571	0.484814433793	0.281202083575	0.0737360952056	0.0949982942973
i	0.033113680929	0.390151488264	0.497890971192	0.0368661744019	0.0419776605991
L	0.011217222543	0.134229857021	0.817098277064	0.018636821834	0.018817781833
u	0.00379402386433	0.047564029707	0.932298759021	0.00859548364467	0.00774766024433
p	0.00131908182244	0.0178549369923	0.968820853007	0.00597445348156	0.00603066001478
p	0.000471138012813	0.0061461389561	0.930984884336	0.00823358642719	0.0541642361049
ì	0.000357562691938	0.0055362646207	0.655024371445	0.255094729809	0.0839870467016
u	0.000650732253979	0.0069321188069	0.414085180482	0.452565809936	0.125766156901
n	0.000958341517993	0.00528338786897	0.402534173494	0.333304466645	0.2579196323
a	0.00116570817266	0.00450366012299	0.313354504498	0.213039510548	0.467936600767
</S>	0.00125337053633	0.00435894181149	0.223038322249	0.166199542774	0.605149800383
