 	venne	scritto	</S>
ì	0.9174774	0.0099563740275	0.072566255335
r	0.896554046667	0.0317910773608	0.071654915335
t	0.598485012222	0.0480349524536	0.353480071778
e	0.307777897407	0.282748420818	0.409473725593
g	0.172170546136	0.569697806939	0.258131683531
r	0.065382209212	0.59754028898	0.337077527844
a	0.028845687104	0.660746946327	0.310407409281
m	0.0148138359013	0.745447422109	0.239738793094
m	0.0409952649671	0.701556530703	0.257448244365
è	0.0590891266557	0.741137930234	0.199772986455
n	0.0872293605519	0.696562056745	0.216208613818
o	0.0845383792606	0.458674045582	0.456787597939
</S>	0.0423492482453	0.356493622791	0.60115714897
