 	non	mangiare	la	sera	</S>
m	0.968408735	0.0201729998	0.002412713375	0.005962750675	0.00304283875
i	0.756112955	0.2349180546	0.001661765375	0.005963896125	0.00134330972667
f	0.396947045	0.4659461182	0.0695283044583	0.030268742275	0.0373097417856
a	0.164372487333	0.6268898994	0.119559688153	0.0390754585583	0.0501024496952
i	0.0584683185777	0.538626766467	0.370633532718	0.0144492923194	0.0178221352651
o	0.0197263649626	0.210139357489	0.757271527573	0.00647203677313	0.00639077860503
v	0.0072690796242	0.0734327348297	0.664505839191	0.240950074924	0.013842306785
r	0.00437838070807	0.0299760696099	0.34403451973	0.330121504975	0.291489552262
à	0.00464530140269	0.0190688995366	0.201391766577	0.397110448325	0.377783593087
i	0.00411157576756	0.0143731746455	0.207237172192	0.605134749442	0.169143325362
</S>	0.00305428583378	0.00990987652275	0.246168986096	0.599350474721	0.141516390681
