 	il	dito	si	gonfiò	</S>
o	0.979661775	0.0172424585	0.0015487161875	0.000564057951045	0.0009830172105
d	0.867344908333	0.0153301651667	0.0118785537542	0.0370360656844	0.0684103366772
à	0.510133659778	0.334134710722	0.0154656584014	0.0492676591481	0.0909982933124
t	0.270442656926	0.658611336907	0.0075129721838	0.0182717573027	0.0451612475241
t	0.202073517309	0.480453463636	0.0107864729613	0.0458945561009	0.260791991175
i	0.088917961903	0.400333772545	0.102752747654	0.070241615367	0.337753890392
l	0.0506578394343	0.370822734182	0.331607742551	0.0657992171223	0.181112446797
o	0.0359909501481	0.165864429727	0.607826814184	0.0627315130408	0.127586304932
è	0.014396345486	0.107291458242	0.762813504728	0.0515643196803	0.063934379644
p	0.00744659091533	0.082517352414	0.624990088243	0.24268230656	0.0423636652147
r	0.00409324845844	0.0312869552713	0.337983759414	0.431240388853	0.195395661738
i	0.00268761704348	0.0130231238618	0.155692890471	0.567152872951	0.261443493913
m	0.00190974323849	0.00591976912527	0.108945049157	0.76030674765	0.122918670471
m	0.0108372529128	0.0173127615751	0.118192214719	0.686773249217	0.16688449599
è	0.0242998096376	0.0332957308584	0.10238375824	0.614547903072	0.225472761997
n	0.0586231605459	0.0667220959528	0.0749140854133	0.630928621024	0.168812013999
o	0.0585851775296	0.0641576862043	0.0452536175711	0.512855513675	0.319147994666
</S>	0.0293212467863	0.0321358044322	0.0237347634355	0.431598716838	0.483209447333
