 	se	aveva	vestito	la	figlia	l	avessi	portato	alla	chiesa	</S>
a	0.8835872	0.030258913	0.00687185065	0.0024929448	0.0690517011	0.003983461285	0.00214139217725	0.00116623109275	0.000234633678955	4.319239715e-05	0.0001684195389
n	0.600963253333	0.0793193563333	0.09283117955	0.0777955691333	0.1310842637	0.010624649285	0.00157946584392	0.00068849759275	0.000136796115622	0.00201639959382	0.00296052141223
ì	0.238972865111	0.395144768778	0.134672114517	0.103280651044	0.106479336833	0.01283210598	0.00140514096597	0.000536212779917	0.000105897126307	0.00267794481761	0.00389298619774
c	0.0856578521503	0.711921922926	0.119051769506	0.040279542348	0.0357337230877	0.00430411902833	0.00048528130299	0.000186390757272	3.74007910357e-05	0.000993652085537	0.00134838547625
h	0.0295572881968	0.800167857642	0.136176633169	0.0193682690493	0.0120009832792	0.00144211847598	0.000165807584563	6.28772940573e-05	1.35942377786e-05	0.000528070761846	0.00051646579675
e	0.0117389904989	0.622134055881	0.29822624439	0.0530372239498	0.0133664791331	0.00076392555186	5.9047279421e-05	2.59000303524e-05	5.97524719287e-06	0.000440679870615	0.000201439691583
n	0.00588887059963	0.309136623294	0.518215181463	0.148044371317	0.015107165611	0.00098640476062	6.18057304737e-05	2.43043224508e-05	8.06270273096e-06	0.00194703133354	0.000580150135194
d	0.00523070769988	0.185069045765	0.542375270488	0.249328150439	0.00859489387033	0.00202867205354	0.000173732883491	4.11049008169e-05	2.37239322437e-05	0.00359753441118	0.00353713314506
ì	0.00453664309996	0.109820867922	0.414695646829	0.409874926813	0.0511289717234	0.00261181065118	0.000364242941164	0.000195909943606	4.87851854146e-05	0.00259008193706	0.00413213444169
s	0.0115691901	0.0676024453073	0.308686062276	0.485474558938	0.0705994652411	0.00791461988373	0.00550873372705	0.0073302913712	0.00263990102714	0.0219299169457	0.0107448542072
o	0.0134758711513	0.0504374866024	0.211111426759	0.603871726313	0.0488206854137	0.0105320126279	0.00707518042568	0.00964872813707	0.00349868253505	0.0285946249486	0.0129336082524
n	0.00542066910177	0.0326468370341	0.15406285492	0.703082875438	0.0570769558046	0.0065074583093	0.00356681109189	0.00366220925902	0.00144144960435	0.0206788876162	0.0118530176008
t	0.00346228773392	0.0438335690114	0.152266866973	0.696914325146	0.0457406602682	0.00460509796977	0.0032677596973	0.00191338761967	0.000978856488117	0.0189756068721	0.0280415788669
a	0.00194683886131	0.0357045523371	0.0773727963243	0.686560751715	0.139936023423	0.0192579557566	0.0023786235991	0.00122208603989	0.000624631199372	0.00800436742403	0.0269913786223
