 	i	bambini	non	si	vestono	da	soli	</S>
t	0.93041593	0.05556189575	0.0039317786	0.00864079385	5.09400145e-05	0.001050122965	8.33991155e-05	0.000265177085
a	0.607237589	0.38014676525	0.0039670061	0.00790039908333	3.19800974e-05	0.000536312566515	2.85686336542e-05	0.000151391197213
p	0.238222868667	0.52934675175	0.168371430933	0.0590707978278	0.00302250479303	0.000701139223687	3.47888293723e-05	0.00122969641128
e	0.112725415556	0.57399053725	0.229146691644	0.0777135245093	0.00401963614021	0.000760240292229	3.69174904374e-05	0.00160702171709
t	0.0834457945187	0.58461358575	0.278145178548	0.0377829884031	0.0037694919226	0.00621703321508	0.000210215624126	0.00581570781903
ì	0.0721898357062	0.481353291917	0.400142926183	0.026897891801	0.00370909719253	0.00814428043836	0.000288853348042	0.00727379922301
a	0.0267622444787	0.404527197306	0.546649808728	0.015348838067	0.00126087991534	0.00282883056422	0.000117286640637	0.00250493117234
e	0.00909285213623	0.165804410769	0.685378036243	0.137172529489	0.000495450174613	0.00101501452284	4.0993263369e-05	0.00100076030545
n	0.00519425697874	0.0630925125897	0.588815852081	0.28964366983	0.00482460096154	0.00435776479095	0.00158725084299	0.0424840895351
i	0.00388355351958	0.0279992857632	0.429217724027	0.463292589943	0.00862303148718	0.00561399527698	0.00212182274433	0.0592479621784
n	0.00358038893319	0.0140244771544	0.278680274676	0.616861029981	0.0321835046624	0.00512445610566	0.00445747814478	0.0450883713928
d	0.0072862435444	0.0243534717181	0.167429340559	0.442930897994	0.0470120472208	0.00507372500189	0.00765635278159	0.298257912131
ì	0.0160596098481	0.0349580022394	0.22901148252	0.228144680665	0.0709677347403	0.026348865634	0.0135659823272	0.38094363271
n	0.0583924619494	0.0702019640798	0.318332197507	0.198238243555	0.151158958247	0.0368708705447	0.0133865255891	0.153418754903
n	0.157772907316	0.18373023136	0.246764049169	0.143472346185	0.140508004749	0.0179688391816	0.0103635630097	0.0994200269677
o	0.147834477672	0.176036005653	0.147250003056	0.146647457062	0.14058776025	0.0891225967272	0.0176821640032	0.134839528989
t	0.0539788124573	0.0651282044177	0.0622866010187	0.155144774021	0.267786160083	0.136374280576	0.127211130001	0.13209002633
t	0.0248015338191	0.0488422771392	0.0348831163396	0.12111646634	0.237768607361	0.149733918525	0.28411159	0.0987424554433
e	0.0105767564864	0.0392951808797	0.0208769020132	0.140955872113	0.0961667934537	0.347413249508	0.252213633333	0.0925015868144
m	0.00630852637547	0.0167879891266	0.0146165779044	0.121051182371	0.180053041485	0.449601589836	0.137005764444	0.0745753316048
a	0.00488060826749	0.0086064911922	0.0109078162848	0.0691336159903	0.221262099162	0.536798316612	0.0899874014813	0.0584236615349
n	0.00344171009816	0.00485283288073	0.00632064807827	0.0313560508634	0.121948661721	0.522402372204	0.25666273716	0.0530150021783
e	0.00294626297505	0.00356820530024	0.00470705513076	0.0177071611211	0.0757927422403	0.405207454068	0.439891589053	0.0501795357261
c	0.00146240586735	0.00172295130675	0.00232076134825	0.00875143870703	0.0390902687468	0.316153884689	0.566421273018	0.0640769719087
h	0.00124172242245	0.00155746700225	0.00189578328275	0.00663755406901	0.0234025951156	0.167083261563	0.714978191006	0.0832033573029
à	0.00109085300748	0.00138621366742	0.00225115449425	0.00531010268967	0.0329719459052	0.141380473854	0.712025743669	0.103583453768
t	0.00136121050249	0.00147309428914	0.00261531483142	0.00426146416322	0.0383478103017	0.0961940392847	0.771664161223	0.0840828469227
u	0.0010586891615	0.00110739448571	0.00153542138981	0.00227424714107	0.0161957987672	0.0409440757616	0.722846947074	0.214037376641
</S>	0.00053954212175	0.000569761676855	0.000788495513905	0.00122202180054	0.0086950473836	0.0286672248808	0.588024313537	0.37149355832
