 	e	che	cucino	</S>
c	0.898388435	0.0155148365	0.022578770465	0.0635179
e	0.725914525	0.182527666167	0.0120356027983	0.07952218
p	0.388726713667	0.468757168722	0.0410234485994	0.101492673333
u	0.167898664222	0.593505156241	0.0543561095331	0.184240067778
m	0.0584696612073	0.405293005414	0.352021319844	0.184216011026
a	0.0213029592358	0.361518965138	0.450269985281	0.166908132109
r	0.0101885054453	0.347840139046	0.478827307094	0.163144123703
è	0.00735905338177	0.170046613682	0.524550012365	0.298044380901
o	0.00478502936059	0.165592554561	0.230716462455	0.598905993634
</S>	0.0031420181803	0.17387086228	0.134487803727	0.688499346817
