 	ora	io	sto	studiando	di	di	imparare	di	diventare	maestra	</S>
à	0.84877085	0.05999928	0.032692161	0.01929495985	0.01898705345	0.00600553975	0.00149495126475	0.0088165253657	0.00200737580734	0.00042458516549	0.00150671808868
r	0.612034035	0.228584356667	0.0863770276667	0.0279371315167	0.0263410347833	0.0132307304167	0.000710748411417	0.00338540069903	0.00072128478734	0.000158304527156	0.000519934739679
t	0.285679616667	0.499470942222	0.125062484556	0.0366427385056	0.0335417169278	0.0167035144722	0.000609708917139	0.00165383696634	0.000310506398113	7.2370777052e-05	0.000252507934226
e	0.151349365056	0.715143604074	0.086697196852	0.0219178157019	0.0167317945093	0.00686323625407	0.00036851882538	0.000633602529447	0.000121945169604	2.70076495507e-05	0.000145863497675
n	0.056805930652	0.720420021358	0.195966675617	0.0173116711006	0.0063059668031	0.00244082400802	0.00025999698146	0.000252497073816	5.91601021013e-05	4.57674207169e-05	0.000131492375492
a	0.020710834384	0.528073077119	0.431050098539	0.0160493893669	0.0026197659677	0.000927081356007	0.00021988873292	0.000123673002639	3.79803117538e-05	5.2317038539e-05	0.000135888890831
i	0.00728553074467	0.49048830904	0.466554752846	0.0334192151223	0.0016463357559	0.000400383802002	7.51236305067e-05	4.2882039913e-05	1.28936581379e-05	1.78803402063e-05	5.66672247437e-05
v	0.00341621236489	0.400103031013	0.358768617615	0.211272598374	0.00476147641863	0.000370997024001	0.000391099143936	0.000389045630971	0.000349846026879	0.0071244148858	0.0130526321637
ò	0.00267262355496	0.244070891671	0.395212252538	0.317951546125	0.0103296001395	0.000808893408	0.000678192297979	0.000747792743657	0.000513369045626	0.00953561029193	0.0174791928879
s	0.0104510087517	0.211265277224	0.443025067513	0.297645948708	0.0115660993798	0.00189331126933	0.00195016828266	0.00229244498122	0.00138790385188	0.00798835442731	0.010534420796
t	0.0141872379172	0.232136952408	0.317005959171	0.249559279569	0.0120089254599	0.00624304908978	0.0134573770942	0.0241128219937	0.0324011134506	0.0195267648091	0.0793605292653
e	0.00663197276773	0.202196789803	0.177549733057	0.37783144319	0.0248418101533	0.00744812926326	0.0157632304381	0.0298042153812	0.0416085445169	0.0186147232004	0.0977093913674
s	0.00571845905124	0.0982577689343	0.113762794352	0.61583756773	0.0488665333844	0.00981811932109	0.0141078802194	0.0182781841771	0.027440637539	0.0118161886641	0.0360958560681
t	0.00641709438375	0.149785589645	0.0935212214507	0.514755712577	0.0542632961281	0.013877043107	0.0181269284065	0.0288798137257	0.0690032718463	0.024455502888	0.0269145316894
u	0.00316912497125	0.162246362215	0.0716161208169	0.460173927526	0.141371707043	0.0129191990357	0.0106778338888	0.0247766798086	0.0694082258988	0.023121421856	0.0205193921965
d	0.00272450080042	0.0657716677383	0.0433728496056	0.579685442509	0.231866645681	0.0136898036786	0.00979393338293	0.00959633896953	0.0235861517163	0.0104598341787	0.00945280989883
i	0.00260357891014	0.0287021554461	0.0301962414019	0.48163816417	0.38797841856	0.0282883265595	0.011606061461	0.00441828728984	0.0082695874521	0.00628855945957	0.0100106294996
è	0.00409685328005	0.012916717682	0.0189170820006	0.28040365139	0.575184406187	0.0832747828532	0.00704757082033	0.00476241859661	0.0031357069307	0.00229081471319	0.00797000316653
o	0.00459953004668	0.00690885302733	0.0134718634335	0.16173719713	0.600268455396	0.194506990951	0.00617481694011	0.0068212505322	0.00145565295023	0.00095207778773	0.00310330050218
n	0.00222378403556	0.00411610400911	0.00823419191117	0.14016867571	0.528701285132	0.219591770317	0.0404393683134	0.00708295861073	0.000761295546743	0.0142249393192	0.0344556359474
