 	non	sono	andati	</S>
e	0.9637889	0.0128960474	0.006224315528	0.017090776695
n	0.679186862	0.00837852006667	0.143041470195	0.169393143362
è	0.271618964667	0.294526736689	0.198684617398	0.235169631121
c	0.115488924222	0.55776089223	0.198830253133	0.127919890374
h	0.0485194984073	0.416970420743	0.361779464378	0.172730596791
u	0.0240425499691	0.491090150248	0.320721266126	0.164146031264
n	0.0273252431564	0.487128750083	0.412743450042	0.0728025687547
e	0.0258581495021	0.222059744694	0.637709856681	0.114372248918
p	0.0112717310507	0.105052971698	0.747818628894	0.135856682973
a	0.00615099281423	0.0389147649327	0.737424246298	0.217510034324
m	0.00283946413541	0.0163562401109	0.715377982099	0.265426338108
è	0.00282857294514	0.0125117182703	0.831449144033	0.153210569369
n	0.00924353404838	0.0172016684234	0.867260714678	0.10629408979
a	0.0102993821508	0.0139304629411	0.626253404893	0.349516753263
</S>	0.0051718962774	0.00745709617055	0.380413052446	0.606957946632
