 	l	ha	scritta	</S>
t	0.92180225	0.038332439	0.0068023117	0.0330629315
o	0.677524273333	0.303296786333	0.00273852008667	0.0164403532667
è	0.290102786611	0.702527398778	0.00107723390656	0.0062925628289
g	0.104261189704	0.596482699593	0.185411599793	0.113844501583
r	0.0517786052347	0.267677446531	0.254857681264	0.425686253861
a	0.0328979417449	0.371531108844	0.126642368421	0.468928587954
t	0.047008613915	0.387132717948	0.311501272807	0.254357379318
s	0.054176720305	0.168314424316	0.473377697602	0.304131133106
e	0.0255118620167	0.076225247172	0.611821015867	0.286441845702
</S>	0.0127690103808	0.038752827186	0.786053657934	0.162424449851
