 	vado	vestito	</S>
i	0.7231887	0.050489386274	0.226321915565
p	0.734278286667	0.0655105029407	0.200211238898
à	0.722524728889	0.0769288466469	0.200546439633
o	0.672059756296	0.226884164549	0.101056086544
n	0.337583816222	0.580751521516	0.081664696848
d	0.113313846131	0.791120383839	0.0955657869493
i	0.040904697977	0.839325617946	0.119769662316
m	0.0197894644923	0.842624769315	0.137585720772
è	0.0140776384974	0.829107973105	0.156814326924
n	0.0656897173325	0.759407491035	0.174902765641
o	0.0791122395175	0.560013377012	0.360874408547
</S>	0.0396507503688	0.426409808506	0.533939479273
