 	stavo	al	telefono	e	mia	sorella	non	la	è	sta	e	dorme	</S>
e	0.75167135	0.0469536645	0.011477117026	0.0221125019453	0.100034149706	0.0011146277642	0.0248189096544	0.0203457270811	0.0107950782579	0.00411529484759	0.00431486966637	0.000430146957127	0.00181662327828
s	0.839150883333	0.0556816558333	0.0332560086927	0.00973900361199	0.0372426577062	0.00137500899753	0.00877451695443	0.00732272691445	0.00377220812454	0.00140544385092	0.00144480623437	0.000146901194794	0.000688211711614
t	0.566316081111	0.0930142452778	0.162445106231	0.0222123995373	0.104934977235	0.0108617788992	0.0224972819515	0.0104744358048	0.00457389157485	0.00115768095364	0.00103792434612	6.04624019313e-05	0.000413731577205
è	0.53721948037	0.0796081160926	0.177971378744	0.0240640746058	0.123670746822	0.0130225280044	0.0265745284932	0.0109905296836	0.00467066368028	0.00104273949578	0.000896187521373	2.81825560104e-05	0.000240850066902
o	0.50873601479	0.341201863031	0.0813638719147	0.00812090557193	0.041398298684	0.0043435987377	0.00886340397487	0.0036722798571	0.00156062192886	0.000348927777299	0.000299136538779	9.4491805323e-06	8.16295689207e-05
s	0.186374208597	0.666397574344	0.0836050363049	0.0173024578006	0.0197549245613	0.00152580694413	0.00598501295942	0.00662350716627	0.00964951185639	0.00182380642657	0.000163706115248	2.54606026729e-05	0.000768972468427
t	0.0717259168657	0.757101458115	0.0688450881016	0.0236574316002	0.0196373421871	0.00189082531471	0.0120178703198	0.0152369373888	0.0237525746188	0.00369758287552	0.000331555701749	0.000120492837558	0.00198494398948
o	0.0293735082886	0.849365952705	0.0443338420339	0.0120474474001	0.0150331115957	0.0019518413069	0.0110358077886	0.0127906846463	0.0193493443229	0.00261638389631	0.000323602359923	0.000129864194847	0.00164863645289
t	0.0204061364295	0.763471210902	0.072944295678	0.0483834103334	0.0176775547319	0.0012385221043	0.0203583002782	0.0228840067321	0.027954605891	0.00337503023657	0.000275129792648	5.40172282769e-05	0.000977768807363
e	0.0172395005765	0.691052996967	0.118165826893	0.0682021287778	0.0190234976773	0.00102752148477	0.0234781931027	0.0262731482507	0.0308570986137	0.00363415731552	0.000260109567483	2.87630167456e-05	0.000757071579121
l	0.0113839279588	0.585708922322	0.155670232298	0.161469741593	0.0175561366591	0.000999386278257	0.0146174683776	0.0183933594236	0.0291854451879	0.00395376834184	0.000232909959094	3.56229685685e-05	0.000793118636374
è	0.00945217560627	0.282331517774	0.441441444099	0.188863105198	0.0159204120864	0.00100032948609	0.0116269050505	0.0156709057759	0.028574493399	0.00405385321195	0.000223517021165	3.80331343828e-05	0.000803349831458
f	0.00631061982209	0.141001909591	0.581944968033	0.217709066399	0.0165857828955	0.0018974740887	0.00483684527483	0.00656975965997	0.0149481718027	0.00308578116865	0.000468483875188	0.000323837419654	0.00431734962982
o	0.00524472989736	0.0957364243637	0.329471722678	0.4427208288	0.0934042856318	0.00497721102957	0.00336364009161	0.00475781388666	0.0108680861342	0.00283145091622	0.000553493708729	0.000420084426718	0.00565025970994
n	0.00340828108912	0.0503291879546	0.176718897559	0.5775272196	0.164535341877	0.0106495970099	0.00287339146387	0.00330471899555	0.00517737444473	0.00128487372207	0.000231326676576	0.000300225395739	0.00365960323665
o	0.00277131207971	0.0321396553849	0.105426047853	0.489057016533	0.330349080626	0.02532851667	0.00411096615462	0.00278654019852	0.00319930641491	0.000735322534023	0.000122509084192	0.000264515015246	0.00370923117888
