 	non	ho	dove	d	andare	</S>
e	0.985602675	0.0092550985	0.00094626543	0.0019680579145	0.001348243944	0.00087969230475
n	0.680259878333	0.0094539495	0.00217502859667	0.0446446814145	0.144334679444	0.119131777038
è	0.261271522778	0.242243355167	0.0843283161989	0.0599773088048	0.193026548081	0.159152903879
c	0.103217506259	0.366590961722	0.377636562066	0.0268254576016	0.0690687072937	0.056660779493
h	0.0404167874197	0.202947801907	0.687415297355	0.0152991379339	0.0293864517646	0.024534511831
o	0.0213276108066	0.146212345302	0.756456742452	0.031236138378	0.0254003402549	0.0193667919437
p	0.102969848602	0.139215591767	0.493298140151	0.0406199927927	0.110465656752	0.113430746648
u	0.125622191224	0.088519093169	0.173278978184	0.270270187598	0.196709155584	0.145600389216
è	0.0430302065313	0.030201025503	0.0623724388613	0.363857945866	0.438448055195	0.0620903594053
n	0.0176437302771	0.016150739701	0.0358331546204	0.172698117289	0.712283628398	0.0453906758018
a	0.0083690173257	0.011383604767	0.0247195213068	0.194338667763	0.710610832799	0.0505783972673
p	0.0066036833419	0.007134830789	0.0110451723023	0.173550278088	0.746210524266	0.0554555330891
à	0.0058593146473	0.005416181263	0.0054926861341	0.0630288518627	0.840133151422	0.0800698216964
o	0.00214130499577	0.00201446934367	0.00218503338803	0.0250535014542	0.589740225474	0.378865479232
</S>	0.00108422836789	0.00101889205584	0.00111534030902	0.0133227864771	0.322676160237	0.660782604616
