 	devo	pulire	l	albero	</S>
è	0.98691458	0.0062049011	0.00461460445	0.00115547395627	0.00111053531
n	0.971500143333	0.0127640220333	0.00564759345	0.0024045419896	0.00768376347667
a	0.661108284444	0.221584257344	0.100323857817	0.0029617108232	0.0140219278256
k	0.246383980815	0.295062789115	0.276156669272	0.129718819834	0.0526777632752
a	0.092462407605	0.185919769705	0.427879906424	0.176232067945	0.117505861092
t	0.0730361772017	0.187143709902	0.447133418808	0.113149090648	0.179537563697
à	0.0728016110672	0.228008663301	0.417642939603	0.109660830216	0.171885931232
r	0.115444162356	0.331446597767	0.383036229868	0.0785986314053	0.0914743814107
o	0.114221618432	0.250427678822	0.535270843289	0.0556268554684	0.0444529631369
t	0.0448212837907	0.101780884174	0.688470667763	0.137209928823	0.027717190379
o	0.0216764485362	0.051504630708	0.747851355921	0.156478213274	0.0224893601263
n	0.0081338365514	0.0194849055527	0.71195628864	0.233803164758	0.0266218100421
à	0.00400238545047	0.0101795563842	0.53091623288	0.423485641586	0.0314161743474
r	0.00191475518349	0.00522797890807	0.34231729096	0.621525733862	0.0290142054491
b	0.0036052375945	0.00295736054936	0.13429276432	0.779478301287	0.0796662691497
u	0.00443168649817	0.00239159931645	0.129871078773	0.677884833762	0.185420776383
r	0.00222693796606	0.00136860177215	0.136544516924	0.404556562254	0.455303382128
o	0.00105133468535	0.000616323073383	0.0676668436413	0.158889697085	0.771775794043
</S>	0.000530718637675	0.000317999460691	0.0405215778207	0.0888303515425	0.869799347021
