 	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	</S>
t	0.790976	0.1875445915	0.002395397815	0.014643816	0.00059198873	0.001840105	0.00181821105	2.0960235215e-05	0.0001118363195	1.21121819e-05	4.5004443e-05
a	0.464059362167	0.5170587505	0.002208725605	0.0134552091667	0.000541578830667	0.00127675294167	0.00132747057577	7.2548128652e-06	3.99313689103e-05	4.28023401954e-06	2.07183113448e-05
p	0.169188192889	0.569721406833	0.061792154035	0.136704440222	0.0486474974642	0.0117955546889	0.00200806278436	3.96229452719e-05	2.07611557138e-05	2.64507202606e-06	7.96924021264e-05
e	0.0719719374963	0.584876918944	0.082352434845	0.178380172741	0.0647013177181	0.0153129854763	0.00223799868545	5.04167484341e-05	1.43753044696e-05	2.10054794979e-06	9.93647022145e-05
t	0.0645600223654	0.596636076315	0.172042571782	0.0982089035803	0.037568201136	0.0231180624054	0.00559496411915	0.000911926686155	0.000257418210722	3.9719915691e-05	0.00106217002558
ì	0.0627408024551	0.420517888772	0.360485867261	0.0912488345268	0.0290025877787	0.0259125836351	0.00699619163972	0.00126198716538	0.000360357576907	5.77919912303e-05	0.00141516654519
a	0.0241333939417	0.320690586257	0.38022396242	0.251350641509	0.0105390604596	0.0091322274117	0.00277546188657	0.000483813859093	0.000142112778486	2.48061329598e-05	0.00050396880333
e	0.00815175418457	0.138905205586	0.241958694807	0.597792270503	0.00691209128653	0.0041444958039	0.00174631776886	0.000161830471498	4.75054407687e-05	8.51299300293e-06	0.000171326564877
s	0.00709228214219	0.0572155446953	0.237853318936	0.614732513501	0.0331167810955	0.0202802049013	0.0221313419896	0.003343304575	0.00124938738201	0.00117173614647	0.00181356333379
ò	0.00676694988073	0.0304282563984	0.367963826312	0.4814494545	0.0500521536985	0.0250282071204	0.0283248862465	0.00441115096633	0.00165156182067	0.00156109268982	0.00236245746693
z	0.0102270347936	0.0218278942995	0.388718155437	0.3985862415	0.1361087479	0.0147252638601	0.0159280709988	0.00169352593011	0.00108411393356	0.00359697883761	0.00750400617798
u	0.0114025791445	0.0183032238332	0.252863331812	0.246773473833	0.3992832593	0.03414559562	0.0208515176663	0.000929168450037	0.000953558957853	0.0043475442992	0.0101467436593
n	0.00649087359483	0.0101767731777	0.117876185604	0.154915967944	0.589617929767	0.0680499302067	0.0225669108888	0.00245645012335	0.000641934632618	0.0112040501197	0.0160029528198
e	0.00491820117494	0.00756286685923	0.0721091392013	0.094656882648	0.665411286589	0.0898006150689	0.0208380866296	0.00467746924112	0.000574225687539	0.0137592551732	0.0256919676066
f	0.012445380035	0.0139281762531	0.0439989087338	0.070329514216	0.64136639553	0.11396950169	0.0223707068765	0.038401283947	0.00711146800585	0.0109292505244	0.0251494465355
à	0.0169296850117	0.0175134390844	0.0423119905779	0.0740466747387	0.531760821843	0.173383833897	0.0449551316255	0.0574206189823	0.0110289393353	0.0108153731748	0.0198335315118
i	0.00780981430057	0.00771822626813	0.0245021012926	0.0601203307462	0.355364483948	0.350321671299	0.142380527209	0.0292508247274	0.00555655769177	0.0048399081316	0.0121355878373
t	0.00341938739686	0.00350490516271	0.00968163359753	0.0240275509487	0.162500444649	0.371364510433	0.169376662403	0.162614962309	0.0181680138106	0.0388476967839	0.0364942446124
o	0.00193801760229	0.00207805709757	0.00457171985251	0.0107097690496	0.080780293383	0.380840456811	0.170033734134	0.211187886103	0.0246359752702	0.0519122749946	0.0613118172041
g	0.0016615804041	0.00185239794252	0.00383237480417	0.00706207454987	0.0855338662943	0.433397238937	0.178488302711	0.178329750701	0.0170361714234	0.0374004627315	0.0554057714014
e	0.00155655081137	0.00170478774751	0.00357811499472	0.00497453271662	0.0855532884314	0.301881959646	0.189688838904	0.289252173567	0.0262320164745	0.0329474454438	0.0626302804671
l	0.00199356004712	0.00206552654917	0.00295266902491	0.00372145310554	0.0372913841438	0.173242127882	0.166545757301	0.458240371189	0.0432231614915	0.0494786330146	0.0612453721557
à	0.00250406858237	0.00251721114972	0.0037506244083	0.00728602103518	0.0288157827146	0.0902808006273	0.2935820301	0.40805470373	0.0487209714972	0.0631353343382	0.0513524603852
t	0.00648596892746	0.00645066644991	0.00786939830277	0.0125321700117	0.0289638045715	0.0629172035424	0.349055021033	0.34762924791	0.0627554338324	0.0643388647794	0.0510022354617
o	0.00743264197249	0.0074414271333	0.00818689747292	0.0101642544372	0.0190621256905	0.0371139241808	0.174673451344	0.31019365197	0.159475344611	0.0701079739265	0.196148312821
p	0.00381010155416	0.0039315413611	0.00410549096297	0.0051091334124	0.00941726439683	0.0219232613936	0.105108763448	0.162316716657	0.245105441537	0.117387486976	0.321784787607
r	0.00287739901805	0.00336453692037	0.00302938512099	0.0036908501708	0.00630202296561	0.0141012792645	0.0435007643827	0.113682328552	0.215863260512	0.260961608992	0.332626569202
ì	0.00161380450602	0.00208192740679	0.00191486477366	0.0030659858236	0.00536567548854	0.0095854382215	0.0717230383609	0.0468806948507	0.209164336837	0.329670912997	0.318933333067
m	0.00382993740201	0.00385101776893	0.00423569695789	0.00533613167453	0.00895732516285	0.0110876204072	0.086489132787	0.0516068122836	0.197142555612	0.431236120999	0.196227655356
a	0.00423393104734	0.00416531915964	0.0044547891043	0.00472917208018	0.00734458990762	0.0084179524024	0.037811659829	0.0483699784279	0.234664881871	0.433474397	0.212333282785
k	0.00173874218245	0.00170728880988	0.00182490833643	0.00190513796873	0.00293625225587	0.00350785913413	0.0150582960763	0.025204856476	0.254055230624	0.461235835667	0.230825514262
a	0.000894070892483	0.00087177794496	0.00093322804881	0.000942226521243	0.00143143296029	0.00178629204638	0.00643694935877	0.0170381853253	0.319150680208	0.467401101889	0.183114018087
n	0.000721094642494	0.000686992836653	0.000742005102937	0.000695817352081	0.000961511595097	0.00113148561713	0.00319637561959	0.00894969694177	0.307889040069	0.51926990063	0.155756090362
a	0.000656673871165	0.000619857643218	0.000670193211146	0.00060708479736	0.000792324315032	0.00089278386771	0.00181330922653	0.00598190066392	0.270209533356	0.531074143543	0.186682171121
f	0.00142117268072	0.00136408287874	0.00141129181388	0.00123313801245	0.00144602685501	0.00149153365124	0.00156176959551	0.00482937823797	0.252003923119	0.420312884514	0.312924763707
à	0.00174788195691	0.00167297344291	0.00176368762129	0.00165483630415	0.00201124635167	0.00197831221708	0.0046212140985	0.00454585919932	0.102534813706	0.419332038171	0.458137127902
n	0.000980686365637	0.00093133343097	0.0010220476471	0.00107678510138	0.00137620238389	0.00129789353903	0.00543407963283	0.00259721628644	0.0492226295687	0.544422706057	0.391638434634
e	0.000661587681879	0.000630179313657	0.000677471305033	0.000675709527127	0.000821478175963	0.000776982751677	0.00235172149094	0.00179065991548	0.0291526318562	0.546067822019	0.416393770211
</S>	0.00034807895594	0.000330859211829	0.000356852301516	0.000351625003563	0.000429387659981	0.000407195983838	0.00128014976547	0.00102665253774	0.0290018124281	0.355350241009	0.611117135106
