 	non	ha	mangiato	mai	un	rustico	</S>
e	0.9687191	0.02613336565	0.002815448665	0.000701009555	0.00094684781905	0.00016481850715	0.0005194557498
n	0.703456106667	0.03857218955	0.163340300088	0.047379537355	0.0100260679191	0.0158366667738	0.0213891568165
è	0.343028685556	0.310100286517	0.220881500363	0.0632546809183	0.013130519943	0.0211114844546	0.0284928940522
c	0.173204319519	0.686752138839	0.0895865517877	0.0220454114394	0.004711225171	0.00822942258153	0.0154710047974
h	0.10744479084	0.794894879613	0.0639989252626	0.00862634774647	0.002123329977	0.00492423646051	0.0179874775991
i	0.07184781408	0.555968309871	0.349812985088	0.00473718431549	0.00116192035233	0.00272174229684	0.0137499691997
f	0.09352292516	0.232277516624	0.594042708363	0.0284422319052	0.00766204544411	0.0120904008756	0.0319621220666
a	0.0990562349867	0.112544340208	0.418704476121	0.267591367302	0.0315239358147	0.0178850709585	0.0526945606889
m	0.0404632152622	0.069131254736	0.230445478707	0.563462122434	0.0415161092716	0.0120365056528	0.0429453382296
è	0.0315271004207	0.0504575122453	0.368493352902	0.459884690811	0.0475513170905	0.0093269902176	0.0327590877432
n	0.10939044514	0.138649814748	0.451097517634	0.210719736937	0.0486769646968	0.00740760127253	0.0340579362477
a	0.124758148547	0.161942105249	0.237369774878	0.213892745646	0.186232403899	0.00750626995751	0.0682985220826
m	0.0536225306823	0.0748020664163	0.103605782959	0.301477475215	0.301803464633	0.0371890753192	0.127499597361
à	0.0329963042274	0.0469581694721	0.122031489986	0.242608191738	0.363683834878	0.0503275994397	0.14139441112
i	0.0142787712791	0.0195913332574	0.112047618662	0.113125374579	0.422747254959	0.203166740813	0.11504291404
è	0.00522518059637	0.00708018075247	0.048168779554	0.045478193193	0.439595394986	0.353068880271	0.101383423013
n	0.00680181716546	0.00779978015082	0.034433247518	0.031226938731	0.427112848329	0.343479013424	0.149146384338
a	0.00700906848182	0.00775840545027	0.0212089783393	0.0242387223437	0.46837076611	0.289158611141	0.182255444779
n	0.00545409058727	0.00592997855009	0.0139237022798	0.0163175368812	0.421692522037	0.299093357047	0.23758878826
r	0.00506389062909	0.0054949310167	0.0109781757599	0.0124844854604	0.188930228679	0.504582199016	0.272466066087
ù	0.00206079955303	0.00231245788557	0.0078599162533	0.00512549052013	0.11149328756	0.655853046339	0.215294975362
s	0.00160610002768	0.00170659630852	0.00728653838443	0.00313369494004	0.0792116928533	0.663407615446	0.243647775121
t	0.00133837877256	0.00140416530084	0.00353951877281	0.00204598327868	0.0307007009344	0.646908538482	0.314062741707
i	0.000457930154153	0.00050470125728	0.0011960708038	0.000713358710227	0.0109331295281	0.673697246161	0.312497573902
k	0.000994698851351	0.00103054194476	0.0016152732028	0.00144601848874	0.0086354987427	0.62369266872	0.362585324634
o	0.00118479059778	0.00121946205425	0.0018061294476	0.00170979159291	0.0086822595809	0.62472877624	0.360668828211
</S>	0.00060953016989	0.000631918736125	0.0009828961938	0.000887228391455	0.00616528579045	0.70696573812	0.283757444105
