 	devo	comprare	il	pane	ogni	ogni	giorno	</S>
è	0.9485028	0.0128248857	0.00680078835	0.019532032	0.00433551865	0.00246910993	0.000126855655	0.005408040079
n	0.94291808	0.0292612505667	0.00537457635	0.0108189647	0.00312810915	0.00426229926333	0.001813856105	0.002422898879
a	0.634267831667	0.331325623522	0.0150186677833	0.0043841197	0.00241739781667	0.00515381378778	0.00497015536833	0.002462377693
v	0.225530331556	0.439641381174	0.284232265261	0.007590019	0.00139837950556	0.00279565822926	0.0105217177894	0.0282902194977
o	0.0899429715187	0.438344183725	0.396988415087	0.0124451376667	0.00105862956852	0.00212546694309	0.0133345245965	0.0457606541659
r	0.0768410921729	0.457192844575	0.331470255029	0.0230695965556	0.00800241705617	0.0286953199144	0.0236621858655	0.0510662723886
à	0.0643972667243	0.204415216858	0.33112714501	0.239807560519	0.0498480466854	0.0424016749715	0.0239638292885	0.0440392610295
s	0.0883415182414	0.143842754286	0.236663165003	0.33125983684	0.0689417075618	0.0787278846572	0.0120857437628	0.0401373739098
o	0.0918071538705	0.121159300429	0.328230301668	0.281703175613	0.0433447265206	0.0867861595524	0.0077606585576	0.0392084939699
o	0.0308856813435	0.0461710804097	0.374606757223	0.395354458538	0.0999779775069	0.0352470091841	0.00292548196587	0.01483153744
t	0.0116556750445	0.0193876357366	0.272883965741	0.443962986179	0.151717719169	0.0443316010614	0.00719548013196	0.0488649492633
s	0.0068302326815	0.0142788820789	0.315178571914	0.41814221206	0.093477416923	0.0435315480205	0.0108140413773	0.0977470997544
o	0.00399048133717	0.00983917705963	0.335756027305	0.399789200687	0.071356572841	0.0237009796735	0.0228522941258	0.132715226585
m	0.0123847805557	0.0181929652199	0.238143645768	0.411176080229	0.13961328428	0.0395090838912	0.0254534665419	0.115526647528
ì	0.0324641778519	0.0319656630733	0.141814530589	0.279411762243	0.196174591427	0.222428175964	0.0327011406806	0.0630399198427
k	0.170471445284	0.0945191933578	0.0727785165297	0.105016682914	0.164974297142	0.309496225321	0.0404619278935	0.0422816699476
u	0.199936115395	0.104791135453	0.0524178535099	0.0647622429713	0.210565292381	0.268357895107	0.0247214846312	0.0744479679825
à	0.0685564460317	0.0368758406843	0.0255226860266	0.0433945864238	0.24768696746	0.447032251702	0.0322510792104	0.0986801376608
i	0.0240060269106	0.0136404098948	0.0089485323322	0.0164910979079	0.14812585582	0.602510030567	0.116220419737	0.0700576275536
k	0.00840658023687	0.0056747952316	0.00389004244407	0.0104863783026	0.07599129394	0.461607326856	0.320014206579	0.113929379185
u	0.00320144003896	0.00309175191053	0.00205784786802	0.00768151750087	0.0386436473133	0.447263725619	0.32078677886	0.177273273062
à	0.00223476103965	0.00354994123684	0.000874717082673	0.00293530071696	0.0203738067711	0.522783901873	0.25881916962	0.188428401021
i	0.00194083969322	0.00390312421228	0.000490717377558	0.00135874088232	0.0124155050237	0.364121753958	0.37810884654	0.237660497007
m	0.00140145614441	0.00310640313743	0.000781367302519	0.00165959425411	0.0073441001079	0.195331086653	0.44714377218	0.343232212336
è	0.0039866473148	0.00683173287914	0.00109113574751	0.0019081630847	0.0084607423693	0.200278637551	0.45023353406	0.327209370779
r	0.00444842633827	0.00730931543971	0.000893736342503	0.00117806754823	0.00681558595643	0.191155094184	0.50651100802	0.281688743593
i	0.00173470992576	0.0027647674619	0.000556172047501	0.000662059940743	0.00265833303548	0.0672690783947	0.395608801007	0.528746064531
</S>	0.00087396133238	0.00140189048395	0.00029958460375	0.000356008627372	0.00135483484274	0.0344954871974	0.212059368004	0.749158857266
