 	dei	genitori	</S>
à	0.969273585	0.00483162025	0.0258947861
t	0.880993075	0.0602567899167	0.0587501227667
t	0.637763235	0.0946588899722	0.267577870922
u	0.405317511667	0.298497956657	0.296184550974
s	0.241133327222	0.638799682219	0.120067017658
g	0.138530525741	0.75415478074	0.107314692553
e	0.074249584347	0.79856389358	0.127186517518
n	0.031753254549	0.86288459786	0.105362162506
i	0.033146312183	0.849991115953	0.116862590835
t	0.0414452813943	0.852345388651	0.106209323612
ò	0.0313638704648	0.89566254955	0.072973513204
r	0.0207756834883	0.91870056985	0.0605236644013
u	0.0123851521428	0.66413552795	0.3234792828
</S>	0.0062983765414	0.392495220975	0.6012063914
