 	sto	e	cucino	</S>
e	0.76733583	0.0848123914	0.0415386375629	0.10631313905
s	0.789473156667	0.0746271080667	0.0210966495629	0.114803095717
t	0.470873220556	0.106601839356	0.204524765188	0.218000195239
è	0.242703805185	0.286858259785	0.278825916396	0.191612010746
c	0.167477190728	0.386490606595	0.332092050132	0.113940152582
e	0.0661371302427	0.269025108865	0.375829216711	0.289008554194
m	0.0245116134909	0.158312499288	0.494980072237	0.322195799731
a	0.010546009107	0.176735229429	0.515139526079	0.29757920491
r	0.00803103923567	0.182364296476	0.523344394026	0.286260247637
è	0.00941791241189	0.0925244421587	0.534244444675	0.363813188546
o	0.0079044661373	0.100360437386	0.222940270892	0.668794812849
</S>	0.00444304806865	0.111344738693	0.126261549446	0.757950656424
