 	mio	padre	ha	lavorato	sempre	</S>
o	0.51654601	0.48088032915	0.0006998120615	0.00127044030975	0.000221696217815	0.00038170958582
c	0.24527973	0.578687749717	0.0704471635615	0.0131802127764	0.00694244038448	0.0854626890992
i	0.3365562	0.429106899906	0.0939208939538	0.0171561536121	0.00921119195649	0.11404867428
ù	0.409745913333	0.443048549969	0.0949994374179	0.00981271222403	0.00321406157383	0.0391793612733
r	0.287283627778	0.447674963323	0.146304862473	0.0180338237413	0.00630531461794	0.0943974190244
i	0.145290719859	0.290861887108	0.416389247491	0.0245655932471	0.00744572622265	0.115446858008
m	0.0738513938863	0.140558370036	0.60865621583	0.110262958416	0.00384488275755	0.062826228336
m	0.192689641295	0.106186056345	0.397695191943	0.135195606972	0.00334662035252	0.164886930112
u	0.212962902432	0.0679920534483	0.430065650648	0.0847487931573	0.00245889798417	0.201771738371
è	0.079663402144	0.0437301694828	0.541599716883	0.240805651052	0.00221544099472	0.0919856261903
p	0.0356665847147	0.0322358514943	0.353990042294	0.479542583684	0.0226753098982	0.0758896237968
o	0.0182064271336	0.0193248729481	0.181219627431	0.638413911228	0.0393135332994	0.103521637932
l	0.0138337319399	0.0162885480994	0.116234189144	0.708292203743	0.0580674044331	0.0872839193107
e	0.0123582415216	0.0152327055065	0.0671645863813	0.531980427914	0.280660881478	0.0926031364369
m	0.0104464517155	0.0126022709755	0.0462452434604	0.514355369305	0.333008361159	0.083342303479
i	0.0099136964185	0.0119113861752	0.0368149098201	0.485985509768	0.383340034386	0.0720344711597
m	0.0142875673195	0.0142281225751	0.0318064992734	0.349111533256	0.496542544795	0.0940237357199
m	0.0729022341065	0.050698076525	0.0632368417578	0.297369471085	0.336801854932	0.178991521907
è	0.0905451847022	0.0649639855083	0.0729821395859	0.217641507028	0.367558404977	0.186308745302
n	0.139937781567	0.0997913951694	0.104396575529	0.207389155676	0.340213963659	0.108271086434
a	0.147437186728	0.0992723406365	0.098204878493	0.113785429102	0.430930616553	0.110369512145
p	0.050017894715	0.0341552835588	0.033943117581	0.039136287044	0.657175272184	0.185572104048
à	0.017558501034	0.0124810466996	0.012692666617	0.014361563458	0.696529790728	0.246376411349
n	0.00806470944033	0.00659071264653	0.007044838729	0.00840000746267	0.734472730243	0.235427003783
t	0.00489897126411	0.00460609413218	0.00491322692433	0.00618847248956	0.749854576748	0.229538681261
a	0.00165004031354	0.00155271050793	0.00167031083544	0.00209958305785	0.669340992249	0.323686393754
</S>	0.00082756166902	0.000779733074765	0.00084985298672	0.00106853286792	0.574881646124	0.421592696877
