 	se	avevo	visto	nuvole	avevo	capito	che	stava	per	piovere	</S>
a	0.951501885	0.0293474905	0.00869681925	0.0037935001	0.001345426927	0.0021388213515	0.0015425839336	0.001017465197	0.00046981497777	2.59819785168e-05	0.0001202744931
n	0.660878351667	0.0951478851667	0.140482205417	0.0959700276667	0.00334484559367	0.00195530688483	0.000891263100267	0.000597460730333	0.000289479021103	9.97702598347e-06	0.000433252646433
e	0.287026957222	0.380225851722	0.198270508472	0.126669490522	0.00400954427232	0.00189481422528	0.000674240427489	0.000457077598444	0.000229375607051	4.64035221539e-06	0.000537504955311
v	0.141763271174	0.629389927241	0.181768029491	0.043469288474	0.00168054583187	0.00087742918876	0.000362689889896	0.000194308471148	0.0002525142357	1.0981959826e-05	0.00023101434827
ò	0.050686344158	0.639709765747	0.25396020983	0.030935028158	0.0104594902773	0.00881573744625	0.0029597299833	0.00104344044038	0.00108175114523	9.17642996087e-05	0.000256767372757
ì	0.026104507386	0.538994015249	0.372142553277	0.029816372386	0.0131922014258	0.0126515540821	0.0038976282611	0.00166318698013	0.00121436217708	0.000109335922113	0.000214290459152
c	0.0150003820953	0.43886879175	0.510305001092	0.017316561462	0.00547769757527	0.0059108953607	0.00165871722037	0.00126115706004	0.00122651175436	0.000314663429614	0.00265962755462
h	0.00636276339843	0.388396070583	0.581155433697	0.0119090454873	0.00310520279176	0.0022791800469	0.00072525918679	0.00076741358668	0.00126395255145	0.000432637896538	0.00360306676821
a	0.00345938157948	0.245481227861	0.634744131232	0.110595424162	0.00190296349725	0.0011883297423	0.000331518515597	0.000283534090893	0.000488594994817	0.000193825258621	0.00133109924307
d	0.00214541013983	0.146190736954	0.647691777077	0.185549304721	0.0123143138991	0.00252326944743	0.000557869478532	0.000302358792298	0.00115690144261	0.000279884945982	0.00128818828469
ò	0.00181877200328	0.110686994518	0.459584292359	0.397420391574	0.023230919633	0.00309535168248	0.000739731502844	0.000383597830766	0.0014208537442	0.000310541405994	0.00130855970156
