 	le	buone	canzoni	si	scrivono	alla	notte	</S>
t	0.89957488	0.092427205	0.00111863	0.00413202145	0.001740097	0.00064137078	7.6696462e-05	0.00028906946
a	0.656406823333	0.337643001667	0.0022293254	0.00214949429533	0.00115038056933	0.000285257146987	2.59517831437e-05	0.000109766101753
k	0.387980901111	0.437295530556	0.156637450467	0.00377072507711	0.0114890815924	0.000998328582649	6.91093755249e-05	0.00175889834234
à	0.236355407037	0.531286640185	0.209414247489	0.00431377022137	0.0149894031275	0.00124113574088	8.42802548416e-05	0.00231510255011
j	0.101454254679	0.807910133395	0.0819396764963	0.00148463345279	0.0052098558125	0.000475593860293	0.000135829934614	0.0013899940527
o	0.0428121354597	0.900102364465	0.0530789821654	0.000558869907597	0.0019613797275	0.000222268252764	0.000153308283638	0.00111068863423
t	0.0412968280532	0.636766608155	0.305529660722	0.0023463834092	0.00778727852583	0.00269914681692	0.000329875376646	0.00324423172808
r	0.0712031706844	0.396109139385	0.448790350241	0.0210802510031	0.0141464648419	0.0203306037723	0.00520230802555	0.0231377119094
a	0.0569886494615	0.426702423128	0.403179546747	0.0422896343344	0.0133477862806	0.0239973276574	0.00654911914628	0.0269454978465
v	0.0210127297205	0.281024527376	0.633758928916	0.0320024068448	0.0101547267602	0.00874087215247	0.00275713388653	0.0105486369922
ù	0.00928812224017	0.152736172125	0.789034889639	0.0260691896816	0.0123083882534	0.00338718582749	0.00159365808551	0.0055823769974
d	0.00724400341339	0.109617480708	0.84055662988	0.0245615553272	0.0120317487845	0.00132633023916	0.00088116169517	0.00378108159913
i	0.00567233845446	0.062769654236	0.677604863293	0.182307775209	0.0650509132948	0.000741122333053	0.000550939267057	0.00530233796638
a	0.00223412812149	0.047246017412	0.333411334431	0.48387937507	0.126520101098	0.00180410547768	0.000210118202019	0.00469476557879
i	0.000949579138163	0.021733788824	0.150256618144	0.65828994169	0.159648073699	0.00708902599256	9.99311483397e-05	0.00193300626626
g	0.00116696442372	0.00911586796133	0.188236696048	0.576755520563	0.158415804566	0.00956626733085	0.0188735134761	0.0378693359054
r	0.00263114607457	0.0192415713204	0.202817870349	0.406226046854	0.095276873522	0.00789045311028	0.0606734398254	0.205242561968
à	0.00249770825819	0.0215132413735	0.0823203341163	0.265854403951	0.339397533174	0.00712646237009	0.0561582505085	0.225132050656
f	0.0162048283194	0.0236929990578	0.0866442203721	0.221714416317	0.496079027725	0.02234187279	0.0472069640695	0.086115708552
u	0.0206103620865	0.0243998081859	0.083493297924	0.225654185439	0.313771692575	0.138013377597	0.0505770260232	0.143480284517
t	0.0140798390088	0.0161156928953	0.0527617887747	0.206594915146	0.211083714192	0.252781692532	0.0764086566744	0.170173711506
t	0.0127615364363	0.0232165229651	0.0431325994249	0.162398841715	0.116171093064	0.182976566844	0.216721298891	0.242621547169
e	0.0051802336401	0.018495608855	0.015205284145	0.0661423180717	0.0443568320213	0.369616534948	0.215634364297	0.26536885439
a	0.00177572571803	0.00662166009167	0.00518447914167	0.0286865461906	0.0228758966738	0.732389991649	0.0908907107657	0.111575043463
t	0.000912901192677	0.00256790947056	0.00503312997056	0.0334458867302	0.0183169732246	0.834581177216	0.0531053229219	0.052036735821
s	0.000614135720892	0.00118613447352	0.00490680216519	0.0326403024667	0.0123839863549	0.567092910405	0.214682928974	0.16649284994
è	0.000566173020297	0.000798173674507	0.0022467100634	0.0132418291789	0.0140520587316	0.315816288135	0.397855942991	0.25542287998
n	0.00254231047343	0.00252298145817	0.00368014885447	0.00999999519297	0.0183062189105	0.271732146045	0.52862569433	0.16259050766
ì	0.00387663505781	0.00359788675272	0.00451727145149	0.00822031039766	0.0146357833035	0.197141185348	0.61391269811	0.15409821022
t	0.0026532002526	0.00237408631757	0.00281213771716	0.00473910133255	0.0100927273345	0.134604198783	0.661080932703	0.18164363674
t	0.00125388390753	0.00129638651586	0.00131300674572	0.00211254053418	0.00390383919483	0.0522713111277	0.780779910901	0.157069132247
a	0.000463473454843	0.000628498063287	0.00047226989124	0.000817674391393	0.00140882836328	0.0340200082426	0.6375401303	0.324649104082
</S>	0.000255832470921	0.000368113753644	0.00025203774962	0.000465545180697	0.00074719635414	0.0388607191213	0.45907905515	0.499971502041
