 	le	canzone	si	scrivono	alla	notte	</S>
a	0.976812765	0.0081602595	0.008307518679	0.001781911647	0.0029091590057	0.000581587168436	0.00144679191315
t	0.779548531667	0.182320703167	0.013047683679	0.0201745843137	0.00351396887236	0.000224551118436	0.00116996597982
r	0.659085910556	0.252455924389	0.0347231092263	0.0364034087712	0.0106561117241	0.000644783456145	0.00603077105994
a	0.806460436852	0.118916461463	0.0335168997421	0.0228639241571	0.0105225463214	0.000754209425998	0.00696552587598
ù	0.587455692617	0.368423363821	0.016341663914	0.0215401819524	0.0036604691638	0.000251806017116	0.00232680685899
d	0.231581871206	0.68830026794	0.0145756939713	0.0346213153175	0.00215598089793	0.00278765274021	0.0259772099973
i	0.106545948535	0.55345435598	0.117419624324	0.180729883106	0.00172886266598	0.00364327493007	0.0364780303324
a	0.0368519041117	0.294724885327	0.371241168108	0.277067657702	0.00393221238866	0.00123329066169	0.0149488457241
g	0.0150992401706	0.177390641776	0.441273656036	0.200573439234	0.00723098346289	0.0834824912222	0.0749495038547
r	0.0136855213902	0.112430300592	0.338047012012	0.127957264745	0.00594734162096	0.129271232407	0.272661304618
à	0.0115400251301	0.0615842691973	0.224640915671	0.367182223248	0.00353372274032	0.061741302269	0.269777539539
f	0.0299209690434	0.101539205399	0.21641525689	0.503060001083	0.00926788764677	0.0385901348897	0.101206513513
u	0.0358736742811	0.107386628913	0.27427472563	0.319244407028	0.0894277958823	0.0360045766299	0.137788166838
t	0.0248432166937	0.0697866934177	0.270939141877	0.232998822343	0.184142291961	0.06171221921	0.155577598946
t	0.0258686435646	0.0583946909726	0.210139114626	0.126256670781	0.140560875987	0.202714326403	0.236065662982
e	0.0137729859215	0.0209467248242	0.0892826388753	0.048649503927	0.350343233996	0.209293424134	0.267711529661
t	0.0148826133738	0.0248516542747	0.0751705962918	0.0296191616423	0.506117761332	0.169905570045	0.17945270522
s	0.0153335312813	0.0262319031149	0.0660427533639	0.0197488579308	0.260646142111	0.397537270015	0.214459598407
e	0.0053807679451	0.0088681593343	0.0229307636413	0.0070577284936	0.393379985704	0.383346914005	0.179035724469
n	0.00742051667637	0.0109109327174	0.0221923158004	0.00719742396453	0.495770568568	0.297615622002	0.158892629823
ì	0.00835634905879	0.0120668806725	0.0239542617668	0.0138352536548	0.444435262856	0.334438390667	0.162913567941
t	0.0034773888196	0.00498844149083	0.0108412329556	0.0120277320183	0.373882736619	0.496044440222	0.0987379573137
t	0.00185222138653	0.00231241859694	0.0045892902852	0.00494652989277	0.135689554206	0.778541713407	0.0720682224379
a	0.00099892757551	0.000984551532313	0.0019758959084	0.00204813745759	0.064727796402	0.665012824469	0.264251847479
</S>	0.000673781737755	0.000564411366156	0.0011577815242	0.00113931783879	0.055408026201	0.490432642235	0.45062402374
