 	il	cibo	ee	vuole	mangiato	subito	e	presto	</S>
t	0.91332663	0.0268398255	0.0256759785	0.006452515	0.002373308465	0.0223829355	0.0021219281	0.000247369553	0.000579474685
o	0.751798213333	0.150465920833	0.0358493328333	0.0369386703333	0.002219268845	0.02114777955	0.00123371019167	9.422185864e-05	0.00025285091574
f	0.624448987778	0.206516026944	0.0582127759444	0.0813165787778	0.016769473205	0.00987388206667	0.00114229538889	0.00029976095852	0.00142016946932
à	0.556032995926	0.271959085648	0.0588324383148	0.0818757129259	0.021983915935	0.00601292140222	0.0011184976623	0.00037013614184	0.00181423076144
i	0.318353883309	0.329154261883	0.264405425772	0.0768543389753	0.007968823325	0.00214621118407	0.000381339368767	0.000125256335649	0.000610409615713
e	0.108913751093	0.180072366294	0.570220475257	0.135293174325	0.00380949358833	0.00107479619802	0.000172937944922	4.59670505857e-05	0.000396990275471
e	0.036517939021	0.070990237098	0.599179558419	0.286942818108	0.00489056919611	0.00092919520934	0.000144253288307	2.10315312619e-05	0.00038434036849
t	0.026211663007	0.049625778366	0.412929549473	0.397892706036	0.0137484333987	0.00137126557978	0.0130894305961	0.00438881425215	0.0807423346195
è	0.0230543234357	0.0514995594553	0.220170373158	0.520754318679	0.0501541261329	0.00329462219326	0.017498211112	0.00591557725738	0.107658870173
l	0.0334033069119	0.0534358831518	0.133538481053	0.57417103956	0.0751864833776	0.00943894173109	0.00829352695067	0.00625503309246	0.106277262024
i	0.0365844595473	0.0410883425506	0.0944103776843	0.371464583187	0.266442139126	0.029183078577	0.0259558269836	0.0119890218642	0.122882107341
f	0.0227372750924	0.0272137156835	0.0704133618948	0.218394571062	0.395368113042	0.032242775859	0.0518203573279	0.0286169626214	0.153192812447
a	0.0181038658408	0.0219602575945	0.0451081936316	0.148364631687	0.269988317681	0.038093596953	0.0807813991093	0.0825581728738	0.295041527482
m	0.0265135257569	0.0278224005648	0.0427038555439	0.118782761896	0.255455609227	0.0495881289843	0.122356693036	0.0859226326246	0.270854369161
è	0.0365464865856	0.0418437245216	0.0552914061813	0.108198785299	0.313206026409	0.163340682995	0.115765379012	0.0375015822082	0.128305903054
n	0.116400349195	0.0995575868405	0.0717134150604	0.110569209766	0.24054269547	0.218582214332	0.0635936991707	0.0178066271361	0.061234191018
o	0.135791069585	0.10655807548	0.0621021573535	0.102951692689	0.107665865823	0.267481958111	0.13208706789	0.0211665224454	0.0641955936727
s	0.0770269063817	0.0751299550267	0.0604741661178	0.0703779003297	0.093507185941	0.254497667437	0.173093909297	0.0820962808151	0.113796021224
ù	0.0574327411739	0.0648140219089	0.0597112107059	0.0593649059432	0.0904377143137	0.399136457212	0.086147645099	0.090616447105	0.0923388426747
b	0.037319391438	0.041286083203	0.0378618282353	0.0389287234811	0.0488244304379	0.482779032404	0.151658247033	0.118728622535	0.0426136288249
i	0.0305535659743	0.0331585264343	0.0292335211451	0.0317424106637	0.0294229670793	0.278838570801	0.248777162344	0.262687367512	0.055585915275
t	0.0160379678198	0.0199738928448	0.016842770115	0.0164734620579	0.0191845436264	0.175496243967	0.190052967448	0.460667792504	0.0852703550917
o	0.0111628674791	0.0153823535169	0.0124956900983	0.0113161786333	0.0151139225355	0.0652703963557	0.107853989816	0.675450107501	0.0859545016972
è	0.00401713344553	0.00695068474097	0.00538137675943	0.00397738285843	0.0105979125052	0.0381234904519	0.066163447272	0.725911689167	0.138876913899
p	0.00169664236518	0.00448125931366	0.00309884945314	0.00156657719948	0.00918390879507	0.022855825684	0.0369703197573	0.772805063056	0.147341582966
r	0.000646988858393	0.00187340449789	0.00116941572105	0.000582689969827	0.00322240446169	0.00815693749467	0.0161539221191	0.829053187685	0.139141079322
è	0.000859235252798	0.0032089641593	0.00224234481035	0.000654982313276	0.00961068505723	0.0218736995649	0.0107685352397	0.701073229228	0.249708306441
s	0.00109118119427	0.0039628844531	0.00279723072345	0.000820595837759	0.0119687756857	0.0261383800883	0.00957977731323	0.649451776409	0.294189328814
t	0.000548344344757	0.0016597867877	0.00115777543082	0.00044351341192	0.00424772998923	0.0098542819961	0.00453792480441	0.731814692136	0.245735926271
o	0.000189896575452	0.000564896333233	0.000396393752607	0.000155482303307	0.00142642724141	0.00442645317203	0.0022909993348	0.690396914045	0.30015257209
</S>	9.7273673526e-05	0.000292565417616	0.000204110385303	7.91068516535e-05	0.000720800347205	0.00240726774602	0.0018717515674	0.611424332023	0.382902836045
