 	vengono	vestiti	</S>
è	0.530282875	0.0176659675012	0.452051163442
r	0.724525191667	0.0248099828345	0.250664840108
k	0.482980555556	0.0308326682782	0.486186776703
u	0.505077376852	0.0163465822261	0.478576047901
t	0.538277768951	0.126776480209	0.334945774967
t	0.23710616265	0.45518682007	0.307707026322
e	0.289537883883	0.511050223357	0.199411880107
n	0.302391554561	0.557722074452	0.139886328369
d	0.101278508854	0.774807291484	0.123914161123
i	0.0495551063513	0.804735673828	0.145709220374
m	0.0321368365604	0.872742467943	0.0951207217913
è	0.0334280156301	0.876187622648	0.0903843655971
n	0.0414177485434	0.850267507549	0.108314715199
a	0.0221572263478	0.634718919183	0.343123845066
</S>	0.0120986259239	0.397628984592	0.590272392533
