 	il	ladro	poteva	entrare	da	qui	</S>
o	0.95255834	0.0302281205	0.011887844	0.0017450012543	0.00218889832587	0.0010056135349	0.00038616073725
l	0.90984133	0.0404879471667	0.010728342	0.0140079532543	0.0137090302259	0.00921975896823	0.00200564587058
à	0.615373496667	0.314140279056	0.0200550636667	0.0183284381714	0.0175896900153	0.0119640166217	0.00254904148853
d	0.312294875556	0.636787859685	0.0334842218889	0.00645467345047	0.00605118221177	0.0039996310209	0.000927590431177
r	0.290289541852	0.640591069895	0.0360111622963	0.0107614687902	0.0148352563373	0.0016972608883	0.00581425854706
o	0.225257007151	0.392387630965	0.333044963432	0.0226801602634	0.0182715511124	0.000951571699433	0.00740711067235
ì	0.078601130917	0.155948316655	0.714685421144	0.0404415800878	0.0072811138708	0.000503139436478	0.00253936085412
s	0.053917695639	0.112333807552	0.634480657048	0.0579523800293	0.0362854451236	0.0483238283122	0.056706259758
o	0.043589038703	0.0837172948273	0.546769902349	0.120267786676	0.0506269693745	0.0735664707707	0.0814625719193
z	0.026333836391	0.0498228272524	0.435440988783	0.211003052225	0.0835495874582	0.123288124924	0.0705616246398
e	0.0205643434437	0.0383951473608	0.200124507594	0.378609284075	0.105904583153	0.171720328308	0.0846818502133
è	0.00871474426123	0.0142478382969	0.108208731531	0.609859878025	0.102022635051	0.103000127769	0.0539460540044
m	0.0164168422204	0.025821692999	0.065069498177	0.587932516008	0.21331407835	0.0435711292563	0.0478742086015
b	0.0794656097401	0.084259820333	0.122855801392	0.360885622003	0.27598278945	0.0204646535854	0.0560856918672
i	0.0890521998467	0.084389932611	0.122370268997	0.212039060668	0.328878046483	0.0757682200285	0.0875022929557
a	0.0299671567642	0.0284479381993	0.043415703409	0.117489288223	0.283260472161	0.392667103343	0.104752400985
p	0.0100605305167	0.00954126789543	0.0146389682063	0.0423959170077	0.109899171387	0.739298001114	0.074166186995
ò	0.00348855868557	0.00334238299181	0.0050621804521	0.0173475996026	0.048481069129	0.840015547038	0.082262665665
t	0.00186393399519	0.00184989075727	0.00239208477403	0.0095743320342	0.027279919843	0.879045495679	0.0779943552217
t	0.00124371364706	0.00124907340476	0.00159115982468	0.00426250169473	0.0116436974477	0.933646231893	0.0463636067406
u	0.000427803490087	0.00042902043812	0.00076620896356	0.00154514509791	0.00417337378257	0.950618743964	0.0420397139135
</S>	0.000214462633643	0.00021499904536	0.00038749381478	0.000780104573455	0.00214404079129	0.944855371982	0.0514035919567
