 	se	vieni	a	casa	ogni	sabato	</S>
a	0.785868195	0.20356601197	0.005038197135	0.003160395	0.001356923685	0.000288320223685	0.000721979791
n	0.496925093667	0.21156559299	0.119184122802	0.0311734286667	0.0821509225183	0.00398182909035	0.0550190071243
è	0.320741009889	0.22131753333	0.188249744267	0.0794918295556	0.110484693639	0.00536539035678	0.0743498113081
r	0.259335569963	0.316668534443	0.194834821422	0.121201003185	0.055340714013	0.00295655994559	0.0496628127027
t	0.128476967321	0.216500638148	0.199670007141	0.100913832728	0.0463359513377	0.0257645426485	0.282338064234
i	0.049977647827	0.0897944283827	0.31417168238	0.146937922576	0.0303812714459	0.0323581305942	0.336378937378
è	0.018449102329	0.0604522851276	0.335221242793	0.436763167525	0.026049641482	0.0107935894349	0.112270987118
s	0.011001942443	0.0508874237092	0.247144779598	0.476819469175	0.044977210494	0.0330856043371	0.136083577732
s	0.00735940944767	0.0274918069031	0.233456793199	0.226319892392	0.0402747087313	0.113384828112	0.351712565911
u	0.00304175729389	0.0129024511677	0.226302691066	0.265900586797	0.0366042698104	0.114864348037	0.340383887304
k	0.010161223276	0.0167492165892	0.353783997022	0.325823532266	0.0656540962701	0.0531516030123	0.174676341101
u	0.0125669379387	0.0178348793831	0.309033567007	0.233262514089	0.22160329009	0.0536800880041	0.152018720367
à	0.00462692992623	0.00683598898103	0.142121492336	0.157626982696	0.545474383363	0.0438985010014	0.099415680789
i	0.00195831533041	0.00298906490034	0.058258521512	0.0709666821653	0.814321361121	0.0168620664671	0.0346439851963
s	0.000782231851803	0.00119411249345	0.0209764712373	0.0247368126884	0.64856554704	0.240173945289	0.0635709159988
à	0.000424970957268	0.000627549607817	0.00822095631243	0.00923684409613	0.324903109013	0.514986305096	0.141600282
m	0.000273650395756	0.000369468015939	0.00327871009414	0.00379570953204	0.170789080338	0.684399021699	0.137094352667
b	0.00384264268859	0.00242379832865	0.00528617945471	0.00915270151068	0.063875146446	0.756124240566	0.159295269556
a	0.0088354858962	0.00598399610955	0.0076940179849	0.0124598635036	0.166115457815	0.590359650189	0.208551516519
</S>	0.0102351369481	0.00742361655477	0.00669783324245	0.0086731742518	0.291889528908	0.476928110095	0.198152608259
