 	noi	ti	amiamo	a	te	di	pocchi	giorni	e	non	ti	possiamo	dimenticare	mai	di	questo	che	trocammo	bene	a	te	</S>
e	0.66123372	0.200129105	0.00518928715	0.00602167052	0.0030033627	0.0067644839605	0.0040295996985	0.0176006355615	0.0219877057123	0.010468536412	0.0180981160392	0.0182858610574	0.0022975688635	0.00454869995438	0.00512291628864	0.0116456498107	0.000681826959045	0.000745984048953	0.00176382911939	0.000193661246469	1.20027896934e-05	0.000175785998294
m	0.434107837333	0.356137301667	0.0608916684833	0.0187360801867	0.0685290605667	0.0126716469605	0.00526169903183	0.00592657385147	0.00734938477897	0.00359110717197	0.00643219557253	0.0079578312574	0.0038544266635	0.00165478887771	0.0017213313453	0.00391744139402	0.000239785155712	0.00024949930082	0.000589643094392	6.83429551357e-05	4.2427347467e-06	0.000108118311627
ì	0.203556373111	0.547252733889	0.0883127094944	0.0259675518956	0.0903735901222	0.0156725632868	0.00633094301061	0.00231144030716	0.00267247475966	0.00134560460066	0.00285205085751	0.0049152201858	0.0051310245545	0.000793547999237	0.0006074886971	0.00140210929801	9.60371105707e-05	8.60677444733e-05	0.000205405044797	2.76283267786e-05	1.6999952689e-06	8.5721011909e-05
s	0.129330880704	0.68064412463	0.0515460908315	0.0140473012319	0.0334121041407	0.00965294956227	0.0468310030035	0.00202009370239	0.00144245705322	0.00338315831689	0.00653574341917	0.00816415196193	0.00898668851817	0.00219117861641	0.0005027250577	0.000919130216003	0.000211626385524	3.85400428244e-05	8.24675339323e-05	2.00965459929e-05	1.97529052297e-06	3.54930466697e-05
e	0.0498193232347	0.766259501543	0.0517725862772	0.0145694931773	0.0144275563469	0.00669364387742	0.0599922003912	0.00165924017313	0.000835834456073	0.0040194376043	0.00747737114306	0.00887905621064	0.00955285896272	0.0025560271753	0.000448160680333	0.000698942881501	0.000246634834631	2.06501231761e-05	3.43615420541e-05	1.6539362186e-05	2.02387101672e-06	1.85865051166e-05
g	0.0170441877982	0.575664009514	0.273120460426	0.0651061883924	0.0191775595823	0.00739263481581	0.0208333341537	0.000795828320043	0.000532991257024	0.0018155669001	0.00345226205102	0.00415631209355	0.00394484377757	0.00117065632827	0.000586606521211	0.00139831407	0.00145674249767	0.000161070747627	0.000128170220761	0.000728633763584	0.000532462307715	0.000801190116599
a	0.00586236443273	0.293891778838	0.543427120142	0.0950268017975	0.0265556911941	0.0077997604886	0.0106340766846	0.000511277853348	0.000440974080341	0.0010962570967	0.00212959093701	0.00258596938118	0.00208001100919	0.000719240865423	0.000635449387737	0.00163483085133	0.00186122290016	0.000208108668856	0.000159672975254	0.000966260908418	0.000709287436608	0.00106426917987
p	0.00471845492424	0.224230638279	0.486803740047	0.0922944695992	0.0441156250647	0.0259957270462	0.0255260728949	0.000912334174449	0.000753179288114	0.00491534596223	0.0152901995657	0.0451966483437	0.0189376207531	0.00442763157781	0.00109100964325	0.00207278561178	0.00141033496765	0.000104275895932	9.97163300847e-05	0.000385181136696	0.000238855815239	0.000480194967623
ù	0.00712066180808	0.130265819093	0.343782823349	0.161921136533	0.142107065022	0.0361093436821	0.049089940965	0.00236714605815	0.0018209635627	0.00689645158741	0.0206697774219	0.0601479875479	0.0248025919677	0.00595330165927	0.00154763834775	0.00292405460393	0.00142015347588	0.000186871491977	0.000210738020028	0.000230131862232	8.35977887463e-05	0.000341820662541
m	0.00614369576936	0.0899630573643	0.288383627783	0.239312405511	0.259625575007	0.0235910205607	0.0387041282883	0.00220744806605	0.0016437576109	0.00324924007914	0.00848455847397	0.0213606952826	0.00916946773923	0.00241208347642	0.00094679154925	0.00197721045798	0.00108346811196	0.000241773627326	0.000217425134009	0.000325083567411	0.000437034910915	0.000520453760847
