 	mia	sorella	quest	anno	che	viene	vuole	diventare	dottoressa	</S>
a	0.793866325	0.193215163	0.00338521955	0.00524586604	0.0012623734002	0.00058856017	0.001469113665	0.000585905503923	9.27816252511e-05	0.000288667093638
d	0.711016441667	0.258774381	0.0191281395167	0.00434169570667	0.00171282996687	0.00308723787	0.000788963431667	0.000363722783923	0.000266565928584	0.000519964260305
r	0.633726880556	0.274540643667	0.0548775315056	0.0108427829022	0.00459191098896	0.0101696584567	0.00234941734389	0.000680636507974	0.000787723042861	0.00743278825344
e	0.519182340185	0.375403364556	0.0645233088352	0.0109869965341	0.00455391921632	0.0120542006189	0.00263209847463	0.000621909500658	0.000726016168234	0.00931585621768
f	0.366194290062	0.479443854852	0.0862920729451	0.00956406807803	0.0125529166254	0.0282223020063	0.00453013951821	0.00685390226489	0.00122039667669	0.00512605133909
f	0.201652032021	0.353823879951	0.0958834696484	0.0211933763593	0.129219844875	0.0891210806688	0.0191223778394	0.0750263394216	0.00596056822556	0.00899702891303
ì	0.10947939834	0.33730117165	0.0996141718828	0.0588533587864	0.167729474958	0.0918552902229	0.0263480599465	0.0930677923739	0.00687057827519	0.00888073487101
m	0.199209735113	0.43997865055	0.105686260628	0.0645736942621	0.0668431340527	0.035323311641	0.0179935036488	0.0332694061413	0.0178112032917	0.0193111351903
m	0.523021265038	0.273443872183	0.059187664876	0.0321945334207	0.0231910543842	0.0126464437803	0.00935881593293	0.0114972508038	0.0239039554306	0.0315551700634
u	0.478986726346	0.116653014394	0.278332342959	0.0645195251402	0.0147723010947	0.00825322859343	0.00367641732764	0.00409340849127	0.0107465287302	0.0199665349311
f	0.207455260115	0.086975789798	0.391814570986	0.138579641713	0.0378035760316	0.0138999155311	0.0197017810759	0.0443960850804	0.0353514691634	0.0240219215537
ù	0.113615464538	0.076594817266	0.374591556995	0.214297947238	0.0494847606772	0.0189771585104	0.025365803192	0.0580116554835	0.0435527269078	0.0255081089179
e	0.038552765066	0.0393462182887	0.365981782332	0.448040355746	0.0346441478924	0.0186357078368	0.011768188564	0.0197528087778	0.0145463718039	0.00873163208097
p	0.0136797812087	0.0145435037629	0.175815574777	0.638718821915	0.0809801116308	0.0177500479456	0.017051319188	0.0146916257526	0.011938200916	0.0148309847353
p	0.0060018492029	0.00603162208763	0.0749084285923	0.644111447305	0.13947150721	0.0147566783152	0.0176830297293	0.0431443635842	0.0171171533053	0.0367739082451
ò	0.0032082264343	0.00594280572921	0.0993602125308	0.564799622435	0.148465592403	0.0790969117717	0.00920195157643	0.0454260845281	0.0118584063418	0.032640174415
r	0.0166058625114	0.0196281319097	0.14097971751	0.419274327478	0.207002467468	0.105202226257	0.00785159952548	0.0204584475094	0.0264387473539	0.036558439805
k	0.0379766195038	0.0212853433366	0.09570713317	0.507887509159	0.195568898156	0.0454575957523	0.00564061519516	0.0114044978231	0.0320817781846	0.046989996935
e	0.0301505624113	0.00797527652553	0.0452539997233	0.687971636386	0.150868405052	0.0318294982508	0.00267463568505	0.00431493649437	0.0116561428382	0.0273049092117
t	0.0200698137138	0.0104161275552	0.0303995229078	0.520031063795	0.274616465017	0.0398961677503	0.00781207316168	0.0164667593981	0.0319481619894	0.0483438429706
e	0.0166840308893	0.0111806237301	0.0246523397826	0.380708706265	0.373045171672	0.0515537525834	0.0119022623872	0.032566491466	0.0406630239965	0.0570436223235
e	0.00562939199777	0.0037898161117	0.0091429559742	0.317678917088	0.272392991891	0.156752607528	0.159536747796	0.0362468621553	0.0157802449322	0.0230494800278
t	0.00315313558259	0.00246785656057	0.00632721955807	0.151385970696	0.219213281964	0.186019955843	0.219423514932	0.0398074163851	0.0901442919107	0.0820573779293
è	0.0024686323942	0.00294572598686	0.00739772218602	0.0769392000653	0.215031740655	0.188434491948	0.207879437311	0.0761192604617	0.118466102304	0.10431769731
l	0.0062235801314	0.00688703659562	0.0114204387287	0.0467951815218	0.193204016885	0.194546685983	0.217394857437	0.126508413487	0.096474325768	0.10054546377
i	0.00730234015913	0.00726452638054	0.0101719504012	0.0322437561406	0.148191335395	0.089505739661	0.106458753479	0.407535114496	0.090197722256	0.10112875359
n	0.00471476763504	0.00462949664218	0.0066898826254	0.0212382720135	0.124906611565	0.0514059882203	0.074926040493	0.575131858165	0.0791672144187	0.0571898581967
a	0.00385789401835	0.00375528907739	0.00552432191847	0.0173126907045	0.116239908055	0.0371195185068	0.067139760831	0.630455386055	0.0744640398062	0.0441312140656
d	0.00407833867945	0.00376894778913	0.00507913568282	0.0114943669348	0.0660246502183	0.0220103352689	0.041679969277	0.772894462018	0.0480589726021	0.0249108523552
i	0.00414767094515	0.00376897768971	0.00492557961294	0.00941590744493	0.0488351614561	0.0164266079696	0.0312923664257	0.810916954006	0.044986356534	0.0252844297851
v	0.00312958386705	0.00283352842324	0.00359899105631	0.00662436361498	0.0298437668687	0.0105958295365	0.0250536081419	0.825926484669	0.064398932178	0.0279948959284
e	0.00279411653902	0.00252780709775	0.00315623654777	0.00558468492833	0.0234390127629	0.00854272159217	0.022866301714	0.818326661556	0.0804808793927	0.0322815833095
n	0.00221157952967	0.00206722425592	0.00235007277826	0.00391765436611	0.0148209117276	0.00577124194406	0.0192698755713	0.747924577185	0.160847893131	0.0408190187698
t	0.00270017530989	0.00236135868531	0.00252482612609	0.0166755067887	0.0130786333092	0.00562546248135	0.0179852998571	0.452421052395	0.295745021044	0.19088270059
è	0.00233556676996	0.00265685102844	0.0024842106087	0.0195267121296	0.0075111348364	0.0121721523271	0.0780969142857	0.211144987465	0.346384953681	0.31768650353
s	0.00721062772332	0.00830233080948	0.00757971943623	0.0128151195765	0.0121846139455	0.020351476109	0.100504445762	0.175725689155	0.433157857894	0.222168127843
s	0.00983210357444	0.0102601198032	0.00968468024541	0.0279132131922	0.0143821759818	0.0163027260363	0.0793833079207	0.139662607385	0.430259529298	0.262319575948
i	0.00501914793815	0.00489396049007	0.0048317885958	0.0273955577641	0.0073854385706	0.00805142659877	0.0644469230736	0.0739524824617	0.354542763099	0.449480535316
m	0.00319789249272	0.00293789041902	0.00299898544593	0.0110232848214	0.0061771201002	0.00477058811959	0.0274053511245	0.146393246487	0.409568031033	0.385527615105
e	0.00261206918257	0.00232805566634	0.00239345919098	0.00541771766047	0.0057706822234	0.0036727175632	0.0140810670415	0.168112394829	0.452155743678	0.343456075035
s	0.00160009991252	0.00172669884878	0.00131231540599	0.00235947600682	0.00254414596447	0.00187352837773	0.00652362814717	0.066791085943	0.584512094559	0.330756895012
s	0.00131486851417	0.00150735182626	0.00097710925333	0.00226570976894	0.00154790660816	0.00129020967591	0.00399949284906	0.0274474515477	0.650199744853	0.309450125004
è	0.000896183214723	0.00119192031875	0.000762637035777	0.00190634436298	0.000956603889387	0.0024323318753	0.00869011394969	0.0142731647492	0.495979161618	0.472911508335
r	0.00108223710491	0.00152940717292	0.00100859247859	0.00112625879433	0.00104961276313	0.00315831085843	0.0098220256499	0.0106093892497	0.544255447206	0.426358719445
a	0.00077777244797	0.000993484934307	0.00069668888253	0.00075428022811	0.000756697313377	0.00147044823081	0.00397210589997	0.0055039972299	0.511036829069	0.474037743148
</S>	0.000395943443485	0.000505276932154	0.000352313275765	0.000420339459055	0.000386210195188	0.000746323832405	0.00212985247498	0.00319478283495	0.348177814535	0.643691201574
