 	entrò	da	qui	</S>
m	0.99600795	0.001204703125	0.00149104678	0.0012963688
b	0.7447361	0.098541047175	0.01706643698	0.139656460667
ì	0.542497916667	0.180716399058	0.0836045799933	0.193181108556
k	0.458563545556	0.355739133019	0.0927012509978	0.092996081852
e	0.287911761852	0.59567645434	0.0530608829993	0.0633509056173
a	0.166614488984	0.455241900113	0.336946926	0.0411966715391
p	0.0558931222613	0.177598220438	0.715276975333	0.0512316391797
ò	0.0191455398371	0.0680620882127	0.854084258444	0.0587080503932
t	0.0078248274957	0.0330177482709	0.921522919481	0.0376344954644
t	0.00386233003323	0.013650456737	0.962495216494	0.0199920580215
u	0.00129742355149	0.0045999196371	0.964314048831	0.0297886275405
</S>	0.00064888983436	0.0023026137357	0.950141824415	0.0469066387703
