 	ho	cosa	a	fare	</S>
è	0.62721099	0.3619446375	0.00450858702	0.0013734155365	0.00496235616
c	0.31684449	0.472858685833	0.0561080686867	0.0422121894365	0.111976536827
h	0.19439449	0.479336121944	0.0732956965822	0.0938359231455	0.159137764609
o	0.144344982333	0.667391453981	0.0532906825474	0.0698356147152	0.065137292703
t	0.080838713111	0.55618391466	0.0747282458491	0.0612989652384	0.226950196401
i	0.0542105913437	0.222326729453	0.38075820695	0.0590690591795	0.2836354078
k	0.0198790992212	0.0802587413843	0.472964392317	0.295242633827	0.1316550766
à	0.0157604432071	0.0423576797948	0.203196414106	0.592593301276	0.1460921072
i	0.0126664592857	0.0249903122316	0.110598789035	0.421234577092	0.430509839067
</S>	0.00640434446785	0.0128127210658	0.0789384310175	0.216514233546	0.685330269533
