 	quest	anno	che	viene	mangio	quanti	voglio	</S>
f	0.71595429	0.2554967545	0.0057641631	0.007190285065	0.00748442235	0.004400185	0.002375152247	0.00133478643
è	0.500752356667	0.456759804833	0.0134221267	0.0128950680217	0.00839186478333	0.00403843640333	0.00238933170567	0.00135106625
o	0.282472402376	0.671512754944	0.0255447455667	0.0127135773406	0.00496329159444	0.00141121183851	0.00086076127289	0.000521318031467
p	0.0945032886787	0.727639598315	0.131660109856	0.0105682931135	0.0317761168648	0.000672002696903	0.00177982303863	0.00140081071862
p	0.0324290913262	0.628778812772	0.241366249952	0.0132427573712	0.0705164889549	0.0021943566823	0.00626276554621	0.00520950277287
ò	0.0123310189754	0.540558637591	0.295999593317	0.0797125991237	0.0567449883183	0.00283726212743	0.0063267541254	0.00548916142429
r	0.0130928508251	0.43066995253	0.403299951106	0.101034149041	0.0284013747728	0.00198731650914	0.0110499986518	0.0104644049748
k	0.015913378275	0.55172915751	0.346884903702	0.0407081246803	0.0164717817909	0.00142839760971	0.0126751461839	0.0141890855583
e	0.008873921115	0.578249445837	0.331957344567	0.0577215205601	0.011106815797	0.000552756874903	0.00442139497797	0.0071167773761
t	0.0161263257283	0.336167201946	0.452824004856	0.0794628108534	0.079169643599	0.00247821858997	0.00528909810932	0.0284827074154
e	0.0184387248928	0.239737493982	0.457002108285	0.0997314209511	0.138246604533	0.00331884722999	0.00746206066977	0.0360627520718
e	0.00621871469093	0.177455717994	0.301051369762	0.166870316984	0.316522304844	0.00770153861	0.0105108666899	0.0136691648239
t	0.00609751630698	0.081739200998	0.201484933587	0.185258188995	0.411329874948	0.0155240052033	0.02527161723	0.073294632808
r	0.00662680136899	0.187650375333	0.172807583862	0.118916719665	0.218504051983	0.0159918427344	0.0304298997433	0.249072717603
ò	0.004158012623	0.208906547711	0.074992560954	0.090857876555	0.334947057661	0.0284166485781	0.0166632677144	0.241058029534
o	0.00285258862433	0.070253456637	0.0339468936513	0.0790053438517	0.55505433922	0.150056219526	0.0166655063715	0.0921656185113
p	0.00147172725811	0.0243719923457	0.0129672570504	0.0312625773839	0.39060600974	0.380596566509	0.0322375181238	0.12648633117
ò	0.00118922128604	0.0088454146719	0.0070364184168	0.0215327195613	0.285857509913	0.508375478836	0.0317536980413	0.135409528723
s	0.00807977442868	0.0106874154473	0.0156596313723	0.0294485575204	0.264967993304	0.482289696279	0.0422029996804	0.146663904574
s	0.0101361967196	0.0116551634824	0.0170862047141	0.0227024300735	0.123575005268	0.61046932876	0.0410995443935	0.163276110191
a	0.00346112437	0.00435453699813	0.00582037514947	0.00772723208017	0.042468819106	0.821765339587	0.0204260742978	0.0939764820637
t	0.00450315501013	0.00556702133671	0.00570866170459	0.00685444418239	0.020346491552	0.628157489862	0.0530035080993	0.275859214021
è	0.00507046087004	0.00609748423224	0.00595624072486	0.00733371829413	0.017122839184	0.322534446621	0.2280916977	0.40779309134
l	0.00341463825668	0.00385336179741	0.00390432173162	0.00502732786471	0.0131607333947	0.224099068874	0.4051862059	0.341354327113
o	0.00264349291829	0.00298020622714	0.00293603548131	0.00348920304557	0.00764257253557	0.215768946291	0.402659891967	0.361879642371
</S>	0.00132341505825	0.00149824240557	0.0014701400968	0.00174947885879	0.00383986787378	0.246071258146	0.364508970983	0.379538606186
