 	sono	vestita	</S>
ì	0.97232291	0.0012002127445	0.02647691721
m	0.695215296667	0.218654576211	0.08613014721
e	0.493107775556	0.38875204207	0.11814016707
n	0.388303367852	0.55123548069	0.0604611413567
d	0.130469971217	0.83048908023	0.0390409591189
i	0.059923815339	0.905457670077	0.0346185590396
m	0.0381121806463	0.927048580026	0.0348392480132
è	0.0325416580821	0.898113126675	0.0693451693377
n	0.0727682973607	0.837262008892	0.0899696891126
i	0.0691495030869	0.603631692964	0.327218819038
</S>	0.0353200024934	0.386471881482	0.578208109519
