 	nella	pasta	vuole	sale	</S>
s	0.580569695	0.403777648	0.00063754419	0.013241041	0.0017741255
t	0.586656798333	0.397854844333	0.00062159559	0.012863652	0.00200312236667
i	0.548326722778	0.438024576444	0.00631013963	0.00609960943333	0.00123889841706
p	0.248588284259	0.458087555481	0.00939637987667	0.157000518244	0.126927229767
à	0.122146617286	0.464380581827	0.0370775926256	0.207376145281	0.169019066522
s	0.146841694962	0.654520573942	0.0494435045419	0.0877997129603	0.0613945276073
t	0.168094186654	0.725504537981	0.0211638433973	0.0502321693201	0.0350052590358
a	0.075835335218	0.684585319327	0.0488881443491	0.146806142773	0.0438850506786
t	0.0520641997393	0.379824508442	0.071308914783	0.253320384258	0.24348200356
è	0.0412199964131	0.151823545814	0.335823371594	0.169381261086	0.301751817853
l	0.046951831971	0.098935462938	0.466779657198	0.204142353362	0.183190672618
i	0.0468471800237	0.0719444449793	0.217070120066	0.388173074454	0.275965197539
à	0.0158072028746	0.0251196264431	0.080704134022	0.618292824818	0.260076245846
l	0.00578232802487	0.0085979607577	0.0302616945407	0.820001588273	0.135356445282
a	0.00241789351829	0.0029908286549	0.0107558498469	0.647239619424	0.336595818427
</S>	0.00131439267414	0.00152408019095	0.00574401712345	0.426618124712	0.564799389214
