 	ora	io	sto	studiando	di	diventare	medico	</S>
à	0.848464325	0.06322647	0.0551279175	0.02354571	0.00695266463	0.0008826893885	0.00039175877975	0.00140850401187
r	0.602648998333	0.223907826667	0.107423259167	0.0437481333333	0.01757679063	0.00294594925517	0.00105258521308	0.000696468411867
t	0.312067766111	0.459944062222	0.133381956389	0.0651451154444	0.0233981775433	0.00392320758506	0.00131063165103	0.000829051570622
e	0.17505922837	0.670828620741	0.0948402011297	0.0458961044815	0.0106389434478	0.00161355287169	0.000476265945343	0.000647022568874
n	0.0640098252233	0.739559016914	0.165055196043	0.0253925748272	0.00424828051593	0.000627187410563	0.000446276296781	0.000661614068291
a	0.0238359669478	0.575616515638	0.382642362014	0.0145953832757	0.00170334850531	0.000290749686521	0.00044854883426	0.000867106472764
i	0.00821711491593	0.439511598546	0.505004610671	0.0454476277586	0.00103352526844	0.000108059283507	0.000174206895753	0.000503232509921
v	0.00431774999864	0.318538376182	0.419361763557	0.205190912586	0.00228529012281	0.000145039716169	0.00444427991425	0.0457165702723
ò	0.00417865579955	0.233053942061	0.385156161186	0.304641224195	0.00557184254094	0.000335544568723	0.00594863642475	0.0611139966241
s	0.0199926851999	0.23646660402	0.402035107062	0.285232288065	0.00791031251365	0.00117820717957	0.00823052592825	0.0389542887414
t	0.0267433147333	0.26575128134	0.283461075687	0.214441864022	0.0132979891712	0.0204653872265	0.0177695616427	0.158069556247
è	0.0128018223111	0.23134883378	0.234943498562	0.254845632674	0.0415577630571	0.0280222079422	0.0149079104709	0.181572353082
o	0.00545388363703	0.109837863393	0.188261285187	0.516812287558	0.099167001019	0.0120809324141	0.00525855611363	0.0631281750607
s	0.00338115167901	0.0434745652643	0.0755442203957	0.624094829186	0.146127153673	0.011106435038	0.00977412073788	0.0864975213869
t	0.00372265032634	0.105159713755	0.0603471444652	0.532126576395	0.121470514558	0.0208698600127	0.014598711246	0.141704813796
u	0.00235517667545	0.122504831585	0.0489256283551	0.404121958798	0.272515731519	0.0262043776709	0.0104068057487	0.112965473599
d	0.00442914835848	0.0495769008617	0.0295037716517	0.410742152933	0.415614890506	0.0248960128903	0.00655881951623	0.0586783011997
i	0.00513752739149	0.0238980637872	0.0214489414506	0.339261123644	0.519886470169	0.0379577902968	0.00639593527208	0.0460141313999
è	0.00398942423583	0.0096750347624	0.0119388547169	0.143117596215	0.682597536723	0.0843248334323	0.022098514924	0.0422581751333
o	0.00360680980528	0.0047456318708	0.0083968005723	0.0680855287383	0.621655538908	0.229363991144	0.045256286308	0.0188893820111
n	0.00236190956176	0.0032033605736	0.00543746885743	0.0624382739128	0.501574849636	0.274143993715	0.111988495436	0.0388516449704
a	0.00192571203792	0.0026552693632	0.00438170112248	0.0589813083176	0.341283496545	0.411794667905	0.132744299812	0.0462335569901
g	0.00262980562997	0.00327487819307	0.00439951054416	0.0379492714525	0.221897938848	0.609160112635	0.0926562179373	0.0280322656634
h	0.00565649654332	0.00759457229769	0.00826370551472	0.0406479511508	0.250739282949	0.524448117545	0.104565422646	0.0580844498878
e	0.00472740848911	0.00668647964256	0.00672767912157	0.0236061271569	0.20576785765	0.561931635848	0.118230780882	0.0723220219626
t	0.0098335106377	0.0100821720909	0.0107933459905	0.018392514159	0.0963245098833	0.651203428616	0.154445433627	0.0489250693209
t	0.0126204112126	0.0246591863636	0.0176496669968	0.0264490507197	0.126500407294	0.439164627539	0.187513124542	0.16544351444
ò	0.0065470944042	0.0225514287879	0.0141545626656	0.0202301862399	0.153355549098	0.31003480718	0.180206088181	0.292920274813
m	0.0135799528014	0.0183130359293	0.0178897055552	0.0223888827466	0.101169576366	0.475878615727	0.139555942727	0.211224291604
e	0.0147316151518	0.0160971461431	0.0164990091817	0.0217018876889	0.0589410434553	0.418707365242	0.175781717576	0.277540217201
s	0.0077409592686	0.00806187621437	0.00835306905723	0.0101717933363	0.0262861974851	0.195139233747	0.430688639192	0.313558245734
s	0.00560224300953	0.00626978657146	0.00603095875241	0.00686247914543	0.0155134351617	0.092626740149	0.474956666397	0.392137721911
è	0.00273417195651	0.00343777905715	0.0034018167508	0.00333887664848	0.0126333410539	0.0544823849497	0.292706992132	0.627264640637
r	0.0032182398855	0.00309203805238	0.00371673221693	0.00323661324949	0.0101584234846	0.0492291423166	0.384266334044	0.543082480212
e	0.00273717686783	0.00257427121013	0.00289174267098	0.0027713135505	0.0056549064682	0.0259258550055	0.373259164681	0.584185593404
</S>	0.00137438899292	0.00129765639407	0.00145545943349	0.00139626327625	0.0029797589941	0.0136173098528	0.225004682341	0.752874496702
