 	mia	figlia	vuole	andare	</S>
i	0.60025472	0.3992757095	0.0001152913025	8.6032676048e-05	0.00026825447805
k	0.5124323	0.413100473167	0.0012054716175	0.0348236041027	0.0384381369614
i	0.530389413333	0.370282814389	0.00158222481917	0.0464187916299	0.0513267141538
a	0.381057611111	0.583019861463	0.00261723158639	0.015687926639	0.0176173410513
t	0.244633407037	0.463252848821	0.00515711276213	0.123555318046	0.163401318184
è	0.138233709012	0.442536654607	0.0370013210207	0.163778404682	0.218449909395
r	0.244754889671	0.476665948202	0.0460335715069	0.084326356894	0.148219226465
a	0.25588395639	0.243807357734	0.0197038133356	0.116344645631	0.364260222155
m	0.226752401963	0.186835457578	0.0274933364452	0.13655625521	0.422362544052
u	0.217241221321	0.150731639359	0.0336080551484	0.104483818403	0.493935264684
i	0.0738286549837	0.0538589816197	0.293677072383	0.100113002801	0.478522299895
t	0.0299035068712	0.0233653985399	0.378752185128	0.315261960934	0.252716954965
è	0.0150719271904	0.0130489682466	0.406391222709	0.400123373645	0.165364508655
l	0.0120506536301	0.0104356391489	0.418309891903	0.465918824548	0.0932850065517
i	0.01093279537	0.0085225710463	0.173518910301	0.733258888183	0.0737668701839
n	0.00439602005	0.00337217737877	0.085868017767	0.856763246061	0.0496005680613
a	0.00227097177	0.00166771066292	0.048199236589	0.874466665354	0.0733954406871
p	0.00219782811	0.00181946949097	0.0356633101963	0.882670721785	0.077648697229
à	0.00261180957	0.00240143763032	0.0283269940654	0.892956593928	0.0737031980763
i	0.00139595596233	0.00136578709344	0.0238364056785	0.678519877976	0.294882019359
</S>	0.000719003139665	0.00069996482172	0.0122591578242	0.484912528988	0.501409389679
