 	voglio	che	Maria	che	venga	domani	</S>
i	0.14285007	0.14285912	0.14285007	0.14285477	0.1428503	0.14285585	0.14287983
t	0.13965355	0.13931237	0.13935395	0.13929027	0.13955663	0.15024076	0.1525925
è	0.11870254	0.11903428	0.11873687	0.11895222	0.12234674	0.27322263	0.12900473
l	0.10814145	0.10724162	0.107253894	0.10798793	0.12763076	0.31364906	0.1280953
o	0.12670113	0.14525348	0.12657158	0.13637789	0.12737697	0.16696113	0.17075771
k	0.10017555	0.096804485	0.09673235	0.097282775	0.10180324	0.30600005	0.20120159
a	0.097706646	0.11102471	0.09888033	0.10412323	0.10039618	0.21688482	0.27098408
i	0.040680964	0.03755042	0.037632614	0.03769405	0.042045943	0.37063757	0.4337585
M	0.029048426	0.05964034	0.087385215	0.0259373	0.064533785	0.3630862	0.37036875
a	0.015112764	0.030504389	0.0639226	0.023073258	0.100614026	0.31516388	0.45160905
r	0.024504183	0.009685179	0.013811914	0.030835496	0.057327766	0.3816187	0.48221675
ì	0.024945952	0.03748261	0.010214736	0.054320283	0.057511345	0.25864035	0.5568847
a	0.024747383	0.02205945	0.009125957	0.018416626	0.035026427	0.51763815	0.37298602
n	0.0011655167	0.0022548903	0.0014063589	0.0006905211	0.0034556605	0.86426467	0.12676245
a	0.042983755	0.061489094	0.0714826	0.024628133	0.0911658	0.46526247	0.24298821
r	0.0001653032	0.00026485487	0.0011181795	0.00044253442	0.018228048	0.5453321	0.43444902
t	0.0022016778	0.010561031	0.010104559	0.006430973	0.026370112	0.18298534	0.7613463
i	0.006434305	0.004242652	0.004021609	0.014245829	0.018974848	0.2896365	0.6624443
à	0.000109370754	0.00026350172	0.0025375318	0.0003650491	0.07186644	0.3479488	0.5769093
v	0.0005269816	0.0005223391	0.0013508849	0.0005647935	0.014516018	0.6269421	0.35557693
v	0.0010831242	0.0020979627	0.0035708128	0.003067737	0.045886505	0.5124047	0.43188918
r	6.192527e-05	3.6980335e-05	0.00046020705	0.00026240258	0.0065750876	0.34787685	0.6447266
i	4.2878528e-05	7.3595074e-05	0.00010829987	0.00023826347	0.022447089	0.20108555	0.7760043
</S>	9.055541e-05	0.00019137097	0.0049838834	0.00050671207	0.08564907	0.23715399	0.6714244
