 	non	aveva	dove	aveva	per	stare	</S>
e	0.14277463	0.14277484	0.14278214	0.14277865	0.14277723	0.14278127	0.14333124
n	0.12881628	0.12844297	0.12988824	0.13747871	0.18769419	0.15498784	0.13269179
ì	0.1418217	0.14182441	0.1418808	0.14214516	0.14380679	0.14301997	0.14550115
c	0.14214559	0.14215785	0.14217119	0.14244382	0.14315502	0.14291473	0.14501177
h	0.13462086	0.1345496	0.13508126	0.13756528	0.15350872	0.15265532	0.152019
e	0.14275764	0.14275797	0.14276047	0.14277223	0.1428109	0.14288774	0.14325307
p	0.115416974	0.11546101	0.116495475	0.11787399	0.12254908	0.12509817	0.2871053
u	0.13147275	0.12611693	0.12162712	0.12848677	0.17429008	0.15212756	0.16587879
ì	0.081899464	0.080383	0.08437201	0.10829085	0.2635776	0.18796371	0.19351338
c	0.0454021	0.044841353	0.044402126	0.15332916	0.2205001	0.20724942	0.28427577
h	0.059227552	0.05645426	0.0610092	0.111758225	0.26580384	0.27488026	0.17086671
e	0.09624959	0.09646277	0.097241744	0.09989531	0.10474947	0.19065028	0.31475082
n	0.009876922	0.011691782	0.027267708	0.03425608	0.14094414	0.20495239	0.571011
a	0.0360612	0.04200712	0.041228767	0.11290165	0.13639459	0.2456692	0.3857375
s	0.00018859668	0.00025530517	0.0011714256	0.0064374735	0.01588253	0.49833378	0.47773084
t	0.0006749397	0.0014531371	0.0046498394	0.018761039	0.045881253	0.7296743	0.19890551
a	0.00044083345	0.0013549987	0.0018733304	0.020252233	0.07847898	0.70263904	0.19496058
t	9.209391e-06	0.00041801826	0.00030370988	0.031126903	0.025961831	0.56219137	0.379989
ì	1.6326767e-05	0.0005759273	0.0025247752	0.015273092	0.043252286	0.38731334	0.5510442
</S>	2.0208452e-05	0.0007284002	0.00079011574	0.004788765	0.01706837	0.79768205	0.17892206
