 	l	ho	sentito	che	viene	</S>
o	0.16663831	0.16663882	0.16672339	0.16668206	0.16666488	0.16665256
n	0.14485556	0.14537734	0.15028192	0.25291485	0.14946516	0.15710515
ì	0.15122661	0.15160033	0.15576741	0.22831224	0.15625042	0.15684295
k	0.15881348	0.15882498	0.15931298	0.1698562	0.15928769	0.19390464
u	0.069803104	0.072151884	0.27424836	0.27073354	0.18911931	0.12394386
s	0.11602485	0.11619821	0.12140547	0.22723965	0.1223418	0.29679
a	0.011339706	0.032690145	0.10824549	0.4642952	0.22198455	0.16144487
n	0.011493682	0.010717674	0.020375408	0.079752944	0.028909467	0.84875077
a	0.008289033	0.015667014	0.15096071	0.17799751	0.5244326	0.12265315
r	0.00022814213	0.000575025	0.00096332043	0.002201695	0.089626245	0.9064056
t	0.00049315335	0.0024100144	0.01784556	0.07119032	0.35427648	0.5537845
i	0.0017258428	0.0017888205	0.006780199	0.068341784	0.059140723	0.8622226
</S>	2.7365999e-05	0.000100203346	0.00022532277	0.01585088	0.3779268	0.6058694
