 	non	ci	dimentichiamo	mai	</S>
e	0.19997977	0.1999854	0.19998357	0.19998083	0.20007041
n	0.19002667	0.1924818	0.23062168	0.1940178	0.1928521
è	0.19855958	0.19949464	0.2024582	0.1990302	0.20045735
n	0.19525382	0.2014772	0.20270047	0.1968941	0.20367447
a	0.19785146	0.19849494	0.20122324	0.19815646	0.20427388
a	0.15813641	0.20977965	0.21776734	0.17548981	0.23882675
l	0.065386094	0.07626106	0.552807	0.15898183	0.1465641
l	0.10397122	0.10485161	0.52200323	0.14913075	0.120043226
i	0.19135472	0.20249179	0.20654465	0.19484396	0.20476493
m	0.016277082	0.060084775	0.06524231	0.217543	0.6408528
o	0.043437906	0.06629844	0.5911429	0.20558299	0.09353781
n	0.00895063	0.042664792	0.15695389	0.1017874	0.68964326
i	0.026107494	0.12050672	0.48446438	0.11083539	0.25808603
s	0.0021502096	0.009347116	0.06768606	0.26639414	0.65442246
t	0.002483372	0.023952644	0.4097365	0.18053472	0.38329276
ù	0.0076801707	0.030178415	0.074254915	0.06423434	0.82365215
m	0.0029317264	0.008028665	0.037567224	0.16436222	0.7871102
e	0.0025653187	0.016330658	0.033576943	0.12338737	0.8241397
s	0.00017983982	0.0003051096	0.0030294461	0.21891855	0.777567
t	0.0009396737	0.0076204175	0.06772017	0.100270174	0.82344955
a	0.0025568942	0.008276223	0.0146250455	0.035390176	0.9391517
m	3.2578282e-05	8.95109e-05	0.010131555	0.37467593	0.6150704
à	4.064452e-05	0.00019588118	0.0026948773	0.22929436	0.7677742
i	0.0003922817	0.00233323	0.03626479	0.40022832	0.5607814
</S>	1.26416735e-05	9.3147704e-05	0.0085089225	0.5896244	0.40176082
