 	il	muro	vuole	uno	specchio	</S>
o	0.16658016	0.16657329	0.16659209	0.16666456	0.16679087	0.16679901
t	0.1628858	0.16256946	0.16329542	0.166323	0.17195363	0.17297271
ì	0.15363146	0.1538305	0.15685293	0.16943395	0.1893278	0.17692333
c	0.15942292	0.15944517	0.15955433	0.16041642	0.16119549	0.19996572
h	0.11837857	0.12002846	0.12189352	0.14866374	0.27480617	0.21622954
o	0.16017975	0.16038641	0.16031547	0.16265368	0.18271594	0.1737487
t	0.15846238	0.15863463	0.15987699	0.16913337	0.17043635	0.18345629
è	0.029255593	0.031767473	0.031810235	0.06510952	0.40443578	0.4376214
l	0.11212064	0.112416916	0.109744765	0.108477294	0.115303315	0.44193703
i	0.03401017	0.039823364	0.039094213	0.112342276	0.35893506	0.41579485
n	0.087511554	0.08756105	0.08615797	0.10422427	0.12744859	0.5070966
a	0.019797267	0.011761583	0.013470643	0.02671035	0.39070967	0.53755045
n	0.008797842	0.008494508	0.016669447	0.056617178	0.37206262	0.5373584
g	0.002260057	0.0022506672	0.0051100748	0.017251052	0.6325069	0.3406212
h	0.0021994575	0.0020662867	0.003924333	0.03386572	0.72107875	0.23686546
i	0.00078810856	0.002075432	0.004393112	0.029763643	0.35988256	0.60309714
a	7.397353e-05	0.00012560817	6.734114e-05	0.010016997	0.8148684	0.17484768
l	0.000116020135	0.0004129258	0.0002459497	0.013018868	0.6212925	0.36491367
ì	0.00097326713	0.004507098	0.0036068922	0.03321746	0.32163024	0.63606507
</S>	0.0003296035	0.0006965429	0.0008374265	0.07153573	0.72478384	0.2018169
