 	li	vestono	i	genitori	</S>
t	0.19998284	0.19998528	0.20001289	0.19999047	0.20002846
u	0.19980583	0.19982868	0.20013933	0.19992033	0.20030583
s	0.19355147	0.19469304	0.19784066	0.19732225	0.21659262
i	0.15250514	0.15036431	0.19814992	0.18656802	0.31241262
n	0.17563012	0.17655739	0.20437156	0.18205494	0.261386
d	0.11266994	0.12219983	0.27283317	0.20423195	0.28806508
ì	0.15484537	0.15362337	0.16455938	0.17077063	0.35620126
n	0.12066938	0.11656358	0.14002894	0.13794498	0.48479313
n	0.1288388	0.13192332	0.13702238	0.13336663	0.46884885
o	0.121347494	0.124756865	0.12544435	0.12515976	0.50329155
n	0.03510692	0.044781055	0.0819559	0.082993805	0.75516236
e	0.006461645	0.00867375	0.05100972	0.13521783	0.7986371
i	0.0006163463	0.0026364666	0.003625795	0.3394168	0.6537046
g	0.0008458953	0.0009294069	0.004156717	0.109906256	0.8841617
e	0.0008027586	0.0030196598	0.0060571977	0.07994192	0.9101785
n	8.725406e-05	0.0005818033	0.0008316957	0.6589311	0.3395681
i	0.00015288449	0.0007342729	0.011223227	0.15250044	0.8353892
t	6.53389e-05	0.0016029709	0.0021173134	0.6392987	0.35691574
ò	0.0020521013	0.007877987	0.009194021	0.23646437	0.7444115
r	0.00073988095	0.0032539675	0.024192836	0.35605472	0.61575866
i	0.00022739233	0.0009963681	0.012113565	0.5686775	0.4179852
</S>	3.5333414e-05	0.0016121411	0.0043818634	0.6755676	0.318403
