 	non	ha	che	li	aspettiamo	</S>
e	0.16549657	0.16550061	0.16551286	0.16550137	0.17216603	0.16582252
n	0.09325085	0.093219414	0.09620317	0.50084734	0.11495368	0.10152556
è	0.15830132	0.15835096	0.1586609	0.19102506	0.17414686	0.15951489
n	0.15908563	0.15917063	0.15956554	0.18389548	0.17433843	0.16394432
a	0.1519593	0.15532099	0.16620201	0.17652027	0.18454789	0.16544962
t	0.095180474	0.096418	0.102149196	0.4098254	0.13596049	0.16046642
u	0.013859487	0.022100842	0.04574548	0.23477907	0.6050711	0.078444004
s	0.021345763	0.023125516	0.032708637	0.66727847	0.1280061	0.12753545
m	0.0023319304	0.003989588	0.025624175	0.14515081	0.68026304	0.14264049
ì	0.0024767995	0.012837349	0.020064125	0.020776672	0.38987425	0.5539708
n	0.0009594651	0.017381093	0.04030981	0.08316532	0.28371587	0.57446843
o	0.030594667	0.049407784	0.118128166	0.26675162	0.29188105	0.2432367
m	0.0009908583	0.009018578	0.013650938	0.023621097	0.4521927	0.50052583
e	1.8583585e-05	0.00041662707	0.0018528267	0.0011787851	0.6505532	0.34597996
</S>	1.4706814e-05	0.00022415901	0.001555538	0.0008352034	0.79025716	0.20711334
