 	mi	si	gonfiò	il	dito	</S>
m	0.1660263	0.16602223	0.16602768	0.16639073	0.16887747	0.16665563
u	0.16464198	0.1648344	0.16567472	0.17210446	0.16734856	0.16539587
b	0.14918819	0.14443068	0.15084696	0.16488588	0.15455079	0.23609748
r	0.14378776	0.14419094	0.1472469	0.20005782	0.21159759	0.15311897
i	0.15933724	0.16038723	0.16072911	0.16584449	0.18751396	0.16618787
s	0.08576133	0.10060015	0.11901968	0.19654763	0.14014845	0.3579228
t	0.02021251	0.02139713	0.02620285	0.33946782	0.53547376	0.05724587
ì	0.06420049	0.09553803	0.10421404	0.23827985	0.31537125	0.18239634
o	0.021578157	0.06771725	0.072897285	0.09650898	0.21577592	0.5255224
d	0.008494169	0.019985953	0.029717274	0.11735006	0.28283352	0.541619
à	0.0040152906	0.0056093163	0.0116675375	0.32055143	0.5380039	0.120152466
t	0.0015342481	0.0011092238	0.003569245	0.022112845	0.32630172	0.64537275
t	0.0019432061	0.0019323168	0.0089262	0.18191491	0.562087	0.24319634
i	0.0003772223	0.00035264905	0.0014419908	0.05127549	0.41779462	0.52875805
l	0.004377582	0.00011647779	0.0053813555	0.015758209	0.7641672	0.21019918
o	0.0004350758	0.00018936455	0.00075199775	0.0379243	0.6896904	0.2710089
</S>	0.016957773	0.0011472652	0.022262929	0.08035498	0.7619943	0.11728276
