 	sono	stato	sempre	poveretti	</S>
ì	0.19725473	0.20511356	0.19876465	0.1972886	0.20157845
m	0.19584255	0.20195693	0.20677742	0.19718139	0.19824165
e	0.19572659	0.21054079	0.19838883	0.19604926	0.19929451
s	0.18289077	0.20379215	0.2192471	0.1931411	0.20092891
t	0.07868043	0.38005647	0.2270394	0.0826587	0.23156488
a	0.17567138	0.2577118	0.19609316	0.17629437	0.19422929
m	0.0695799	0.26429823	0.31008604	0.13826008	0.21777566
m	0.0764803	0.4184122	0.21248972	0.080023445	0.21259433
è	0.09909972	0.22284214	0.26655903	0.14468944	0.2668097
n	0.010726344	0.06358594	0.103003286	0.1138161	0.7088684
a	0.08091697	0.15387407	0.16699965	0.16995181	0.42825747
p	0.0056003295	0.017894385	0.03224371	0.28445318	0.65980834
à	0.028259873	0.41430905	0.14307567	0.10743779	0.3069176
n	0.0034639712	0.03311736	0.02569758	0.09400172	0.84371936
t	0.009795022	0.19515297	0.10199711	0.03499272	0.65806216
a	0.0011569515	0.0483696	0.03736688	0.12055235	0.79255426
t	0.00022176154	0.0007970825	0.0051124715	0.3153835	0.6784852
e	0.0005672007	0.0126308575	0.01984788	0.53569925	0.43125477
c	0.0012177203	0.00089983223	0.02360545	0.43542305	0.5388539
h	0.00040160448	0.011436327	0.01964053	0.09359827	0.8749233
ù	0.0019464148	0.003486862	0.041800268	0.23287787	0.7198886
d	0.00083574466	0.00045812153	0.0069405143	0.4615247	0.5302409
d	0.00010133134	0.0038319847	0.013327057	0.26452234	0.7182173
h	2.0391402e-05	0.0005218128	0.0044839256	0.26475397	0.7302199
i	3.9638075e-05	0.0003467322	0.004830778	0.38492242	0.6098604
</S>	0.0018810671	0.002724374	0.12084672	0.30110693	0.5734409
