 	che	non	li	aspettiamo	</S>
n	0.19877201	0.19877854	0.20285581	0.19948255	0.20011103
a	0.19934286	0.19930544	0.20142446	0.20004475	0.19988243
m	0.17319869	0.17205405	0.26663607	0.1991779	0.18893327
i	0.07982001	0.080178715	0.5960471	0.1407902	0.10316396
t	0.084697396	0.08442836	0.6036704	0.124842346	0.10236147
u	0.033180214	0.031849846	0.6181885	0.20673239	0.110049024
s	0.055001132	0.04259296	0.74334466	0.07981119	0.07925012
m	0.017754447	0.01749736	0.31497198	0.29386202	0.35591424
ì	0.016987622	0.022014415	0.093592495	0.39550906	0.4718964
n	0.005085497	0.0049021505	0.07048067	0.13174331	0.7877884
o	0.097848386	0.06857591	0.31367412	0.25312224	0.26677942
m	0.0071592154	0.012694997	0.041465987	0.49942815	0.43925166
e	5.2942796e-05	0.00050801825	0.0017601169	0.64497876	0.3527001
</S>	0.00012441723	0.00073498633	0.0007774383	0.90022963	0.09813344
